HOUR,SW,SD,LWIN,SD,LWOUT,SD,LW,SD,SHF,SD,LHF,SD,TEMP,SD,RH,SD,WS,SD,Vapour Pressure air,SD,Vapour Pressure surface,SD,Atmospheric Pressure,SD,Ts
1,0.077156,0.29934,296.69,26.099,313.55,2.8167,-16.862,25.189,75.884,60.355,12.039,29.322,4.8064,2.314,74.346,11.826,5.8755,3.1574,636.76,99.792,591.87,26.472,94171,893.83,-0.45393
2,0.047533,0.29613,297.86,25.799,313.4,2.7871,-15.537,24.913,76.715,50.818,13.877,31.923,4.6138,2.1567,75.455,11.176,6.2296,2.9687,639.82,98.246,590.42,25.973,94177,888.26,-0.48735
3,0.073044,0.33543,295.27,26.674,313.25,2.8043,-17.98,25.719,78.951,56.285,10.93,25.753,4.6126,2.1737,74.433,11.76,6.2265,2.9658,629.37,90.902,589,26.106,94170,891.97,-0.52062
4,0.099589,0.3893,294.88,26.899,313.13,2.9518,-18.251,25.778,74.346,49.617,6.398,21.103,4.6271,2.2298,73.394,11.4,5.9457,2.7259,621.36,91.227,587.98,27.296,94169,883.39,-0.54578
5,0.14078,0.51195,295.52,27.594,313.06,3.1754,-17.542,26.383,68.027,46.842,6.609,21.78,4.5901,2.4192,73.667,12.073,5.8451,2.9792,620.43,86.06,587.38,29.213,94146,883.58,-0.56184
6,0.062822,0.27275,295.71,27.777,313.03,3.5016,-17.322,26.331,67.768,49.927,7.6462,20.065,4.5095,2.5972,74.546,12.196,5.6894,2.9074,624.04,87.264,587.25,32.414,94139,874.19,-0.56817
7,0.27788,0.9681,297.97,27.514,313.12,3.3538,-15.151,26.294,69.098,48.078,9.7762,24.642,4.5378,2.6227,75.129,14.043,5.6948,2.6911,628.82,100.16,588.03,30.979,94136,878.62,-0.54828
8,5.5879,16.972,298.58,26.577,313.23,3.4536,-14.654,25.031,72.553,49.934,11.478,33.124,4.4997,2.44,75.144,13.086,5.9672,2.9259,628.65,95.581,589.08,31.905,94148,879.76,-0.52491
9,29.112,49.539,299.24,26.906,313.55,2.8777,-14.308,26.035,70.34,47.057,8.5862,32.524,4.5388,2.4189,74.042,13.386,5.8156,2.7395,620.47,99.22,591.84,26.969,94154,881.92,-0.45518
10,68.322,86.21,298.91,27.367,313.79,2.8642,-14.881,26.608,68.838,48.635,9.4515,29.723,4.4897,2.2691,75.001,12.314,5.8355,3.1467,628.34,97.2,594.14,26.926,94159,878.06,-0.40188
11,120.73,132.55,300.07,26.16,314.16,2.7158,-14.093,25.685,71.773,52.248,9.464,28.621,4.4935,2.2782,75.316,12.273,5.9203,2.8666,629.92,86.185,597.57,25.759,94156,884.97,-0.32147
12,175.8,154.83,301.48,23.11,314.58,2.5883,-13.099,23.147,70.31,57.715,10.192,42.899,4.4882,2.1946,75.067,11.803,5.8868,3.1819,629.45,97.523,601.49,24.632,94154,884.59,-0.23058
13,216.88,169.03,302.75,22.393,315.01,2.5145,-12.256,22.364,67.704,54.727,9.0161,39.13,4.6934,2.2142,74.35,11.483,5.6286,2.9126,633.48,101.25,605.55,24.063,94150,883.59,-0.13744
14,251.47,188.21,302.29,24.347,315.4,2.5094,-13.112,24.612,64.373,49.676,5.8451,33.309,4.7798,2.1298,73.03,11.495,5.5331,3.03,624.55,89.52,609.31,24.084,94161,884.41,-0.052072
15,272.71,196.21,304.7,24.294,315.67,2.5417,-10.971,24.556,64.368,41.271,5.316,24.77,4.8291,2.0911,73.051,11.713,5.6098,2.7044,626.86,91.297,611.9,24.547,94153,884.47,0.0062078
16,265.76,181.39,305.1,23.173,315.81,2.7512,-10.715,23.348,57.242,41.521,5.879,18.066,4.9756,2.2004,73.358,12.219,5.0947,2.7234,635.3,90.997,613.28,26.595,94146,880.39,0.035531
17,286.69,188.32,301.3,22.206,316.01,2.7228,-14.708,22.559,71.943,47.918,10.027,28.058,5.207,2.1199,72.559,12.096,5.8111,2.8008,638.94,93.207,615.17,26.508,94133,887.87,0.078243
18,216.41,143.49,302.13,21.36,315.68,2.531,-13.556,21.453,74.98,45.075,8.0856,25.666,5.177,2.0275,72.407,11.657,6.0299,2.7499,636.18,87.994,611.99,24.487,94136,880.28,0.0082883
19,162.49,119.16,303.59,22.45,315.2,2.6131,-11.616,22.274,74.667,49.668,7.1084,23.282,5.1587,2.0489,72.363,10.262,5.6845,2.5864,636.47,83.47,607.42,25.166,94138,880.96,-0.095624
20,104.35,85.044,302.99,23.328,314.86,2.4301,-11.863,22.942,76.267,49.447,8.0937,20.656,5.0827,1.993,72.907,10.151,5.8884,2.7538,638.26,84.764,604.07,23.251,94144,880.13,-0.17045
21,57.123,65.682,302.14,21.985,314.47,2.4529,-12.328,21.517,74.787,48.831,11.65,22.566,5.0763,2.0718,73.63,10.547,5.7667,2.7637,643.87,86.126,600.41,23.289,94134,900.83,-0.25434
22,14.437,17.108,301.1,24.157,314.03,2.4374,-12.929,23.316,75.317,48.671,11.743,28.671,4.9612,2.0252,73.918,9.9032,5.7986,2.6567,643.13,93.386,596.25,23.014,94137,912.89,-0.34967
23,0.81942,2.3272,301.32,25.29,313.84,2.6931,-12.523,24.22,74.103,53.854,9.8194,24.176,4.8951,2.185,73.869,9.0853,5.7207,2.7386,639.57,88.029,594.57,25.479,94132,915.24,-0.39045
24,0.059644,0.2974,298.22,25.934,313.82,2.8207,-15.599,24.986,75.53,57.561,7.7177,20.092,5.0001,2.2578,72.39,9.9051,5.7643,2.9155,630.21,84.93,594.37,26.643,94139,941.27,-0.39617
