HOUR,SW,SD,LWIN,SD,LWOUT,SD,LW,SD,SHF,SD,LHF,SD,TEMP,SD,RH,SD,WS,SD,Vapour Pressure air,SD,Vapour Pressure surface,SD,Atmospheric Pressure,SD,Ts
13,373.58,195.9,266.18,22.408,309.47,12.545,-43.291,15.528,1.3543,10.204,-2.5324,13.648,8.3657,3.0109,36.4,17.345,1.5845,0.53185,379.33,134.29,563.05,143.66,68216,151,-1.3833
14,570.38,194.18,277.12,19.124,317.06,8.7548,-39.94,17.132,0.20746,7.7407,-1.5162,10.912,9.1424,2.6723,36.622,16.155,1.6283,0.42188,406.22,124.26,629.66,114.38,68224,147.24,0.2888
15,558.78,218.68,282.92,18.2,317.74,7.9201,-34.823,17.893,1.1734,5.6687,-1.4185,6.6564,9.3468,2.6139,37.634,16.389,1.732,0.46232,424.37,128.13,635.42,98.845,68224,142.98,0.43879
16,509.08,243.41,286.99,17.003,317.09,7.1059,-30.098,18.795,3.3206,7.6453,-1.7755,5.4052,9.4093,2.7767,38.695,16.961,1.8973,0.54008,436.32,130.46,628.17,79.4,68222,139.81,0.30102
17,443.65,236.55,288.17,15.975,316.11,6.5769,-27.939,18.159,4.6604,8.2297,-1.7952,3.7701,9.359,2.9713,40.058,16.303,1.9375,0.59509,451.76,126.63,618.18,67.613,68218,138.39,0.091375
18,338.6,195.1,286.41,16.635,314.35,5.3099,-27.943,18.681,4.4244,8.2889,-1.6148,2.8688,8.9981,2.9404,42.058,16.589,1.8798,0.62622,464.15,124.87,600.52,50.647,68212,138.28,-0.28506
19,192.5,155.83,281.01,20.069,311.47,4.942,-30.469,20.197,4.1843,7.3506,-0.97863,2.6607,8.3192,2.7093,44.687,15.779,1.8064,0.59314,476.21,119.16,573.52,45.836,68208,138.55,-0.91135
20,81.179,94.297,273.41,21.557,308.33,4.1287,-34.924,20.548,5.7505,9.5125,-0.68708,2.8894,7.5492,2.4707,47.803,15.41,1.8116,0.66109,486.3,116.26,544.9,36.723,68207,141.21,-1.5989
21,17.126,15.052,267.19,21.404,305.59,3.5998,-38.4,19.987,8.6925,10.899,-0.96425,3.423,6.8611,2.3025,51.052,15.74,1.9534,0.66617,496.54,117.76,520.95,30.52,68212,142.75,-2.2027
22,3.5733,6.526,262.73,21.422,303.67,4.3685,-40.942,19.464,11.513,10.893,-1.2215,3.269,6.4647,2.2843,52.39,15.706,2.0677,0.61359,496.25,117.68,505.01,35.956,68225,143.5,-2.6324
23,0.081187,0.43351,258.4,19.523,302.03,4.9587,-43.624,16.977,11.773,11.521,-1.1953,4.5187,6.242,2.2392,52.177,16.118,2.032,0.61763,486.4,122.89,491.75,40.232,68243,145.32,-3.0002
24,0.013549,0.12925,254.73,18.158,300.67,5.5465,-45.937,14.985,12.738,11.937,-0.86058,3.7503,6.1709,2.2949,51.097,16.403,2.075,0.59248,473.02,124.42,481.07,44.844,68253,147.03,-3.3059
