SW IN,SW OUT,NETSW,Si0,Li0,Lo0,NetLW,H0,E0,B0,energy0,energy_rest0,sublim0,depo0,evapo0,condens0,alphaMod0,SubM0,melt[cm ice eq.day]
197.55,59.267,138.28,26.596,239.5,-312.44,-72.944,54.964,-10.922,3.4388,86.225,-2.4467e-05,2.3743e-05,-9.868e-06,0,0,0.30002,0.00028283,3.0856
97.838,29.351,68.487,13.697,331.51,-315.64,15.872,138.66,24.447,-1.5477,232.22,0,3.925e-07,-3.1447e-05,0,0,0.3,0.00014759,6.9809
84.601,25.38,59.221,11.844,320.94,-315.63,5.3165,63.569,-10.647,-0.93973,104.68,6.3762e-05,1.641e-05,-2.8861e-06,0,0,0.3,0.00012761,3.3135
161.48,48.444,113.04,22.607,267.6,-313.16,-45.566,104.6,29.337,2.7343,181.53,-1.144e-05,1.4362e-06,-3.8703e-05,0,0,0.3,0.00024193,5.6816
71.626,21.488,50.138,10.028,347.25,-315.64,31.61,113.27,-3.0335,-1.5864,180.37,0,2.6205e-05,-2.2351e-05,0,0,0.3,0.00010804,5.4159
45.782,13.735,32.047,6.4094,355.6,-315.64,39.962,153.33,47.912,-0.96925,265.87,0,0,-6.0863e-05,0,0,0.3,6.9028e-05,7.7082
83.605,25.082,58.524,11.705,336.75,-315.64,21.111,102.17,37.349,-0.67084,206.78,0,0,-4.7444e-05,0,0,0.3,0.00012611,6.1824
94.649,28.395,66.254,13.251,321.66,-315.64,6.0202,58.204,17.565,-0.50913,134.28,0,0,-2.2313e-05,0,0,0.3,0.00014277,4.1763
61.712,18.514,43.198,8.6396,347.15,-315.64,31.509,86.128,28.012,-0.41234,179.79,0,0,-3.5583e-05,0,0,0.3,9.3063e-05,5.3273
195.49,58.646,136.84,27.342,239.36,-314.04,-74.678,118.37,-7.0422,1.7918,147.94,-3.3962e-05,2.4131e-05,-1.5185e-05,0,0,0.3,0.00029299,4.894
85.674,25.702,59.972,11.994,300.08,-313.57,-13.496,29.335,-24.572,1.4722,40.717,0.00021421,3.1213e-05,0,0,0,0.3,0.00012513,1.4454
