SWIN,SWOUT,SWNET,LWNET,EH,EE,melt [cm ice eq. day]
104,-44.72,59.28,-4.9446,88.996,19.728,4.5998
301.4,-129.6,171.8,-46.703,104.34,22.659,7.1114
246.4,-105.95,140.45,-12.674,66.729,13.98,5.8812
84.5,-36.335,48.165,-9.0001,69.139,14.409,3.4617
10.17,-4.3731,5.7969,-17.835,93.003,23.205,2.9386
0.084,-0.03612,0.04788,-20.574,65.082,18.76,1.7861
-1.054,0.45322,-0.60078,-16.619,55.021,16.822,1.5409
-2.067,0.88881,-1.1782,-9.7792,87.749,26.579,2.9161
-4.436,1.9075,-2.5285,-14.267,101.38,33.386,3.3278
-3.483,1.4977,-1.9853,-20.599,72.082,23.863,2.0695
-2.475,1.0642,-1.4108,-19.341,81.375,25.91,2.4411
-2.612,1.1232,-1.4888,-19.68,115.27,39.152,3.759
-1.912,0.82216,-1.0898,-23.288,116.35,32.673,3.5163
-3.28,1.4104,-1.8696,-24.148,160.5,16.581,4.2614
-3.178,1.3665,-1.8115,-28.819,101.97,3.6168,2.1145
-3.224,1.3863,-1.8377,7.5385,119.47,-7.6404,3.3156
-4.32,1.8576,-2.4624,2.2394,101.83,1.893,2.9198
26.68,-11.472,15.208,-2.0796,92.924,-8.2904,2.7578
305.5,-131.36,174.14,-35.639,112.83,-19.571,6.5377
353,-151.79,201.21,-39.051,85.664,-5.2143,6.8439
453.3,-194.92,258.38,-52.048,62.342,-3.6135,7.4773
637.5,-274.12,363.38,-67.314,73.164,-14.146,10.017
782.4,-336.43,445.97,-67.263,77.256,-31.007,11.988
779.9,-335.36,444.54,-67.717,92.676,-60.217,11.546
674.3,-289.95,384.35,-67.207,76.958,-44.048,9.8749
513.6,-220.85,292.75,-66.033,79.679,-41.126,7.4832
134.3,-57.749,76.551,-38.122,51.132,-18.303,2.0102
22.18,-9.5374,12.643,-42.605,22.88,-6.3391,-0.37862
8.98,-3.8614,5.1186,-43.553,24.373,-8.3729,-0.63286
