NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Pressure Air,Pressure Surface,Wind Speed,Ts
372.8,-24.099,30.507,-13.911,10.305,0.40199,7.263,39.65,404.29,573.1,1.856,-0.88386
463.1,-18.193,32.388,-13.832,13.074,0.40098,7.844,40.96,434.54,594.3,1.95,-0.38581
610.4,-12.669,30.619,-14.424,17.319,0.39743,8.84,39.13,444.15,626.25,1.784,0.33566
306.8,-10.668,24.451,-10.037,8.7604,0.41011,8.38,39.85,438.45,599.69,1.402,-0.26172
148.2,-4.2864,23.966,-8.0847,4.5078,0.43305,7.224,42.27,429.86,559.27,1.407,-1.2174
149.7,-5.8104,23.352,-8.7362,4.4714,0.42863,7.299,40.32,412.14,557.56,1.353,-1.2592
91.89,-6.1914,23.993,-8.3743,2.8581,0.4397,6.495,42.74,413.42,542.34,1.463,-1.6361
93.87,-6.4772,29.183,-8.076,3.0608,0.4352,6.199,46.25,438.34,538.17,1.822,-1.7411
90.09,-9.811,29.833,-7.4692,2.8955,0.42545,5.867,48.07,445.25,533.19,1.913,-1.8672
47.954,-13.288,28.975,-6.892,1.6009,0.42925,5.619,48.81,444.41,527.02,1.879,-2.0251
5.819,-16.764,28.128,-6.3446,0.30574,0.4823,5.371,49.55,443.45,520.9,1.845,-2.1833
0,-23.908,23.626,-3.3734,-0.10312,NaN,5.399,51.34,460.36,511.22,1.494,-2.437
0,-38.482,39.588,-6.6576,-0.15662,NaN,5.931,47.66,443.41,508.02,2.321,-2.5217
0,-41.006,51.452,-7.1454,0.093105,NaN,5.806,48.525,447.57,501.27,2.997,-2.702
0,-43.53,63.47,-7.0071,0.36482,NaN,5.681,49.39,451.63,494.59,3.673,-2.8826
0,-19.908,25.052,-1.2361,0.11025,NaN,4.338,57.55,479.24,495.38,1.725,-2.8614
0,-15.05,52.564,-9.5685,0.78833,NaN,5.655,49,447.25,513.62,3.247,-2.3735
0,-20.003,31.939,-1.6583,0.28994,0.070986,4.53,56.63,477.95,495.38,2.144,-2.8614
0,-20.86,21.267,0.56345,0.027369,NaN,3.69,61.09,486.08,477.61,1.498,-3.3519
0,-15.812,18.846,-0.050841,0.084169,NaN,3.714,60.2,479.81,480.67,1.339,-3.2664
2.629,-15.526,23.035,-4.5442,0.15779,0.61899,4.117,50.44,413.57,479.9,1.543,-3.2877
31.95,-19.622,16.456,-5.728,0.6504,0.45347,4.083,47.28,386.74,496.16,1.179,-2.8401
105.44,-20.86,13.273,-6.2069,2.5853,0.4181,5.081,42.23,370.39,523.34,0.914,-2.12
143.22,-16.526,17.746,-8.819,3.8258,0.41555,5.393,41.05,367.94,532.37,1.208,-1.8882
181,-12.192,22.32,-11.759,5.0599,0.41405,5.705,39.87,365.18,541.5,1.502,-1.6571
152.7,-12.954,14.974,-9.1951,4.1052,0.42203,5.792,37.73,347.67,549.91,1.024,-1.4475
129.5,-10.954,18.585,-10.808,3.5635,0.43598,5.466,38.72,348.82,539,1.28,-1.7201
151.1,-8.0965,20.316,-11.946,4.2702,0.43153,5.799,37.55,346.18,544.02,1.36,-1.5941
105.3,-4.3816,24.386,-12.58,3.1799,0.4378,5.823,39.33,363.19,539.83,1.604,-1.6991
75.87,-2.7623,27.773,-2.6922,2.7699,0.44499,3.755,61.66,492.87,519.28,2.296,-2.2255
71,-1.9051,14.669,2.9063,2.4449,0.45594,2.508,75.87,555.25,510.42,1.46,-2.4581
31.32,-1.4288,12.581,5.8269,1.3625,0.62036,1.614,86.2,591.86,500.09,1.43,-2.7338
15.98,-2.7623,28.873,7.6943,1.4044,0.76263,2.112,78.41,557.88,498.51,2.919,-2.7763
2.22,-1.7145,19.791,11.244,0.88972,0.91556,1.237,89.6,598.8,486.05,2.246,-3.1169
0,-4.1911,21.796,8.3428,0.73196,NaN,2.006,80.6,569.14,473.81,1.971,-3.4589
0,-4.8579,18.569,0.31145,0.39557,NaN,3.503,61.11,479.88,474.57,1.322,-3.4375
0,-4.4769,25.341,-3.9741,0.47646,NaN,4.506,50.56,426.01,481.43,1.615,-3.245
0,-8.1917,58.34,-22.285,0.786,NaN,6.082,36.49,343.05,497.73,3.245,-2.7976
0,-10.049,43.494,-15.169,0.51557,NaN,5.924,38.13,354.58,494.59,2.44,-2.8826
0,-11.907,28.895,-9.1225,0.22189,NaN,5.766,39.77,365.81,491.47,1.635,-2.9678
0,-25.528,44.565,-8.5276,0.29648,NaN,5.085,43.28,379.71,458.1,2.45,-3.9096
0,-19.908,33.273,-6.0216,0.20717,NaN,4.507,46.68,393.34,461.8,1.981,-3.8021
0,-10.002,26.518,-5.8691,0.30035,NaN,4.515,47.83,403.26,481.43,1.691,-3.245
0,-8.5727,22.534,-4.6574,0.26245,NaN,4.491,49.36,415.46,486.82,1.47,-3.0956
0,-6.0009,21.598,-4.692,0.30763,NaN,4.764,48.95,419.95,495.38,1.401,-2.8614
8.4975,-5.0484,18.681,-0.58556,0.60778,0.75323,3.8935,60.835,491.03,500.48,1.3955,-2.7232
17.2,-4.0959,15.783,2.8618,0.89564,0.7462,3.023,72.72,552,505.63,1.39,-2.5853
71.2,-11.145,14.872,0.62658,2.1313,0.67885,4.176,65.41,538.54,526.61,1.183,-2.0356
115.8,-11.621,14.986,-1.3399,3.3238,0.62741,5.158,59.31,522.99,549.91,1.121,-1.4475
88.9,-8.0012,15.853,-1.7795,2.6791,0.5907,5.393,56.81,509.2,544.86,1.124,-1.5732
95.9,-2.8576,20.592,-2.858,3.125,0.55291,5.705,54.35,497.81,544.02,1.393,-1.5941
102.4,-1.524,14.728,-0.92442,3.2351,0.51122,5.462,58.16,523.8,544.02,1.03,-1.5941
90,-0.47626,15.46,-0.37156,2.9511,0.48454,5.202,60.08,531.41,539,1.102,-1.7201
54.74,0.85727,20.177,7.614,2.3524,0.56452,3.101,79.65,607.95,513.62,1.818,-2.3735
77.4,2.7623,7.7537,4.5621,2.6088,0.53261,2.673,87.6,648.65,512.02,0.752,-2.4158
