HOUR,SW,LW,SHF,LHF
1,-1.0154,-30.715,55.16,6.2587
2,-0.93945,-31.004,52.219,4.7783
3,-0.91367,-30.748,52.977,4.8676
4,-0.99883,-30.658,53.508,4.9418
5,-1.0894,-28.15,51.885,4.2732
6,-1.1478,-16.148,49.248,3.6951
7,-0.85367,-4.5062,50.978,3.0435
8,3.5161,-1.2714,51.831,4.7569
9,25.714,-5.6949,51.782,4.8851
10,74.174,-13.134,50.182,5.1358
11,147.44,-22.431,51.309,1.1029
12,216.15,-29.571,51.813,0.032647
13,267.24,-35.214,52.146,1.8544
14,322.32,-41.939,54.351,3.186
15,336.71,-44.631,57.344,3.0831
16,312.9,-45.087,58.514,2.8659
17,283.25,-48.168,60.405,5.1901
18,234.57,-51.915,61.798,5.9555
19,181.68,-52.142,62.373,5.9812
20,122.48,-46.839,61.006,6.5248
21,67.914,-32.772,59.986,7.8871
22,26.902,-29.501,57.327,6.7808
23,5.0154,-30.056,59.701,5.9457
24,-0.79097,-30.439,57.18,5.7201
