SWIN,SWOUT,SWNET,LWNET,EH,EE,melt [cm ice eq. day]
-0.664,0.33864,-0.32536,-33.61,27.321,9.704,0.087149
-0.394,0.20094,-0.19306,-38.622,44.655,30.779,1.033
1.009,-0.51459,0.49441,-37.227,29.219,20.036,0.35325
-0.812,0.41412,-0.39788,-33.445,36.401,22.335,0.70224
-0.541,0.27591,-0.26509,-1.8386,31.954,16.379,1.3041
1.919,-0.97869,0.94031,2.7401,44.857,14.457,1.7771
12.4,-6.324,6.076,-2.6535,60.911,27.128,2.5801
58.15,-29.657,28.493,-10.836,73.612,22.979,3.2229
142.9,-72.879,70.021,-13.986,94.946,24.427,4.9482
379.8,-193.7,186.1,-38.287,41.246,12.641,5.69
216.4,-110.36,106.04,-19.036,59.992,17.742,4.6471
419.9,-214.15,205.75,-33.944,71.576,19.399,7.413
578.5,-295.04,283.46,-42.449,63.907,10.73,8.9045
455.5,-232.31,223.19,-35.269,48.442,4.2502,6.7877
1334,-680.34,653.66,-66.537,63.587,3.2911,18.449
432.1,-220.37,211.73,-37.217,51.903,6.8754,6.581
1106,-564.06,541.94,-64.327,89.723,1.6938,16.052
378.4,-192.98,185.42,-52.397,55.516,11.698,5.6485
230,-117.3,112.7,-46.916,33.18,3.1294,2.88
168.2,-85.782,82.418,-65.826,50.521,5.2999,2.0427
150.2,-76.602,73.598,-63.637,78.735,16.861,2.9777
59.7,-30.447,29.253,-34.383,48.845,9.2999,1.4955
4.452,-2.2705,2.1815,-34.616,58.926,10.027,1.0301
-1.648,0.84048,-0.80752,-36.05,61.32,13.42,1.0687
-1.648,0.84048,-0.80752,-37.377,57.608,7.2968,0.7538
-3.37,1.7187,-1.6513,-37.169,39.009,7.7767,0.22469
-2.952,1.5055,-1.4465,-37.121,53.408,16.255,0.87717
-3.346,1.7065,-1.6395,-37.964,65.549,13.798,1.1212
-3.543,1.8069,-1.7361,-3.6545,71.649,20.036,2.4344
-3.247,1.656,-1.591,-4.1557,93.377,23.483,3.1345
7.897,-4.0275,3.8695,-6.7705,55.582,14.571,1.8972
74.96,-38.23,36.73,-12.622,56.653,14.496,2.6872
523.1,-266.78,256.32,-55.319,52.996,9.9892,7.447
583.4,-297.53,285.87,-50.997,95.801,21.277,9.9283
848,-432.48,415.52,-65.688,77.905,12.786,12.427
923,-470.73,452.27,-65.118,92.425,-1.2146,13.494
743.2,-379.03,364.17,-50.057,108.78,-7.0834,11.73
1156,-589.56,566.44,-66.468,52.895,2.5668,15.669
995,-507.45,487.55,-63.681,29.078,-1.9786,12.722
618,-315.18,302.82,-57.227,25.339,-2.6737,7.5675
