HOUR,SW,LW,SHF,LHF,T surface,T Air
1,0.035523,-20.451,75.741,11.782,272.73,278.37
2,0.052053,-20.915,70.836,9.1818,272.76,278.31
3,0.057138,-19.93,73.638,9.7816,272.6,278.36
4,0.035907,-19.634,75.141,10.214,272.55,278.38
5,0.038298,-20.292,73.389,9.7932,272.47,278.17
6,0.028223,-21.033,69.757,8.7956,272.51,278.06
7,0.11278,-21.5,72.331,7.9069,272.51,277.98
8,5.1552,-21.984,73.766,10.629,272.58,277.94
9,31.865,-23.465,72.274,9.8492,272.87,277.9
10,91.087,-24.37,68.008,8.8101,273.09,277.92
11,181.06,-24.239,69.197,1.5044,273.14,278.03
12,265.45,-23.332,69.281,-0.28522,273.15,278.26
13,328.18,-22.999,69.435,2.3747,273.15,278.33
14,395.83,-22.558,72.381,4.5932,273.15,278.45
15,413.51,-22.059,76.415,4.58,273.15,278.59
16,384.26,-21.297,78.231,4.1487,273.15,278.77
17,347.85,-20.808,80.205,8.1772,273.15,278.9
18,288.07,-20.72,81.347,9.0909,273.15,278.92
19,223.12,-20.517,82.257,8.97,273.15,278.96
20,150.42,-20.474,80.643,9.9464,273.12,278.91
21,83.404,-20.718,79.875,12.73,273.04,278.76
22,33.174,-20.915,76.591,11.488,272.95,278.62
23,6.8012,-20.63,81.845,10.733,272.76,278.51
24,0.18143,-20.627,78.471,11.231,272.68,278.43
