SWIN,SWOUT,SWNET,LWNET,EH,EE,melt [cm ice eq. day]
-0.252,0.05796,-0.19404,-41.589,0,0,-1.1787
1.261,-0.29003,0.97097,-35.208,0,0,-0.96581
-1.513,0.34799,-1.165,-45.299,0,0,-1.3107
-1.429,0.32867,-1.1003,-47.779,0,0,-1.3789
-1.614,0.37122,-1.2428,-16.589,0,0,-0.50302
0.588,-0.13524,0.45276,-18.971,0,0,-0.5224
40.11,-9.2253,30.885,-23.202,0,0,0.21673
101.7,-23.391,78.309,-25.659,0,0,1.4852
141.6,-32.568,109.03,-21.88,3.8317,3.1304,2.6549
285.4,-65.642,219.76,-22.434,2.8707,1.1142,5.6788
391.5,-90.045,301.45,-24.676,9.2467,6.2571,8.2452
446.2,-102.63,343.57,-19.324,0,0,9.147
975,-224.25,750.75,-50.863,18.194,8.492,20.496
869,-199.87,669.13,-41.036,0,0,17.718
809.8,-186.25,623.55,-14.981,26.29,8.9037,18.16
677.1,-155.73,521.37,-14.632,57.8,21.309,16.526
723,-166.29,556.71,-16.028,186.79,81.49,22.82
215.8,-49.634,166.17,-18.359,165.34,68.097,10.755
48.7,-11.201,37.499,10.72,38.452,12.877,2.8083
4.351,-1.0007,3.3503,16.163,171.28,59.626,7.0642
-4.217,0.96991,-3.2471,1.8595,19.163,11.71,0.83177
-1.411,0.32453,-1.0865,-0.96307,81.362,55.974,3.8164
-0.907,0.20861,-0.69839,-6.8102,55.789,49.118,2.7476
-3.461,0.79603,-2.665,-3.713,78.023,36.909,3.0623
-2.386,0.54878,-1.8372,-9.9348,88.623,44.451,3.4219
-3.293,0.75739,-2.5356,-13.394,87.523,45.846,3.3129
-2.235,0.51405,-1.721,-19.119,0,0,-0.58788
-1.983,0.45609,-1.5269,-20.433,0,0,-0.61948
-2.218,0.51014,-1.7079,-4.7422,0,0,-0.18195
-0.168,0.03864,-0.12936,-15.026,0,0,-0.42753
32.77,-7.5371,25.233,-20.279,0,0,0.13975
100.6,-23.138,77.462,-24.976,0,0,1.4806
189.9,-43.677,146.22,-23.424,0,0,3.4641
337.5,-77.625,259.88,-26.815,4.6818,1.911,6.7605
474.4,-109.11,365.29,-32.641,0,0,9.3839
445.6,-102.49,343.11,-28.335,0,0,8.8798
558.5,-128.45,430.05,-13.658,3.6318,0.70723,11.869
994,-228.62,765.38,-30.713,99.47,30.699,24.397
455.4,-104.74,350.66,-22.663,0.073164,0.016811,9.2552
744.6,-171.26,573.34,-28.314,1.1856,0.2708,15.416
659.1,-151.59,507.51,-27.157,36.712,7.2481,14.791
150.6,-34.638,115.96,-33.002,77.99,14.395,4.9464
67.28,-15.474,51.806,-0.48517,90.898,26.256,4.7526
3.159,-0.72657,2.4324,-3.6076,51.31,17.029,1.8947
-2.352,0.54096,-1.811,-7.2805,13.393,4.1244,0.23768
-1.311,0.30153,-1.0095,-7.4893,0,0,-0.23975
