NET SW,NET LW,EH,EE,melt [cm ice eq. day],daily albedo,TEMP,RH,Pressure Air,Pressure surface,Wind Speed,Ts
111,-45.739,45.515,-13.692,2.7388,0.35162,4.9926,39.181,339.92,469.88,2.5003,-3.6847
167.59,-52.607,44.717,-12.298,4.1582,0.32948,5.319,38.62,342.78,455.82,2.2587,-4.2156
158.4,-51.216,51.135,-16.832,3.9912,0.32945,7.1276,31.99,318.7,479.17,2.3452,-3.5024
145.75,-50.23,49.134,-11.801,3.7479,0.33398,7.0893,36.731,365.07,485.76,2.3236,-3.2839
156.34,-50.629,50.035,-17.825,3.8908,0.33639,8.1297,27.166,289.42,480.45,2.1293,-3.5086
143.04,-51.853,48.64,-15.825,3.4979,0.33736,7.909,28.846,305.82,478.65,2.0889,-3.5754
91.248,-45.598,37.623,-11.976,2.0112,0.35169,7.4903,28.823,294.43,465.48,1.6356,-3.902
151.72,-52.544,43.215,-13.524,3.6354,0.33387,6.882,32.933,325.12,471.58,1.9868,-3.7742
153.02,-46.471,43.398,-12.338,3.882,0.3321,7.4445,34.651,356.3,492.87,2.0381,-3.0966
88.521,-29.899,32.318,-3.6878,2.4613,0.35984,5.2616,50.304,446.03,486.91,1.8148,-3.1945
60.689,-18.568,18.357,0.5159,1.7206,0.37491,3.4462,63.265,492.38,487.52,1.3731,-3.1274
128.98,-49.95,35.655,-3.4587,3.1378,0.38578,4.9925,46.357,397.9,449.67,1.847,-4.4434
146.98,-51.982,34.641,-5.4359,3.5038,0.32834,6.0054,43.036,394.81,466.34,1.7161,-3.9191
144.96,-50.52,43.586,-7.8141,3.6732,0.32623,6.8913,38.896,380.44,477.05,2.06,-3.5912
139.21,-50.827,47.526,-8.3844,3.5975,0.32783,7.3128,39.208,397.77,487.92,2.2164,-3.2486
101.87,-46.676,46.121,-8.9396,2.6059,0.32963,7.6036,37.938,395.06,491.56,2.1062,-3.083
136.17,-51.178,46.88,-6.9206,3.5247,0.32721,7.27,40.446,406.29,485.87,2.1824,-3.3049
113.26,-44.59,45.205,-9.1673,2.9537,0.33507,8.3522,36.223,395.96,503.78,1.9818,-2.7653
142.85,-45.233,43.023,-6.3575,3.7881,0.3156,8.3816,39.753,434.5,513.76,1.9531,-2.4919
105.87,-33.797,54.94,-14.094,3.1855,0.32537,10.142,31.842,380.57,526.75,2.2012,-2.1182
73.044,-32.18,30.524,2.2638,2.0777,0.34407,5.8607,57.906,536.4,515.72,1.8012,-2.3471
134.95,-54.064,38.939,-8.7174,3.1343,0.31489,5.4604,37.415,333.8,446.52,1.9263,-4.513
