NET SW,NET LW,EH,EE,melt [cm ice eq. day],daily albedo,TEMP,RH,Pressure Air,Pressure surface,Wind Speed,Ts
138.67,-58.346,17.352,-15.608,2.315,0.20536,0.85088,55.812,348.43,484.26,1.9958,-3.4462
158.04,-47.258,16.902,-11.642,3.2735,0.30237,-0.20138,59.495,352.48,466.16,2.0834,-4.0901
31.293,-4.9394,13.641,-2.6309,1.054,0.7654,-1.7505,77.864,410.86,426.17,1.8702,-5.234
92.012,-70.063,40.61,-26.689,1.0119,0.688,-1.063,40.636,233.15,384.52,3.7843,-6.8947
56.768,-56.716,41.131,-24.09,0.48219,0.6732,0.092458,37.334,228.31,383.93,3.33,-6.8416
110.84,-69.271,34.879,-24.759,1.458,0.59198,0.35042,38.219,234.66,393.05,2.8575,-6.8259
138.1,-74.611,39.656,-32.426,1.9949,0.48225,1.6618,31.188,218.8,433.55,3.1932,-5.278
182.81,-83.431,38.236,-31.679,2.9883,0.3543,3.0562,23.734,184.93,450.65,2.6543,-4.8007
209.62,-81.507,42.024,-36.256,3.7766,0.24943,4.6928,24.05,203.93,489.89,2.8212,-3.4535
222.07,-80.187,34.046,-28.281,4.165,0.19931,4.4851,30.727,256.51,503.78,2.514,-2.9466
221.25,-72.956,48.566,-33.194,4.6171,0.16192,5.9843,30.817,289.43,530.87,3.1723,-2.2173
216.83,-71.82,35.795,-25.479,4.3816,0.1575,5.8707,38.69,348.63,556.46,2.6346,-1.4286
216.83,-83.276,41.353,-29.965,4.0888,0.14984,5.5708,30.549,276.08,526.03,2.8278,-2.3365
216.91,-80.706,50.566,-42.942,4.0574,0.13541,7.6348,20.468,210.66,535.37,2.8316,-2.05
212.99,-73.728,38.778,-34.423,4.0514,0.1335,6.4265,27.172,256.28,534.4,2.5362,-2.0382
209.51,-81.74,52.309,-51.486,3.6276,0.15025,4.2753,22.846,189.4,491.86,3.8076,-3.1789
208.17,-87.116,38.451,-40.396,3.3601,0.16274,2.9233,21.991,166.71,458.23,2.9765,-4.2271
207.76,-88.526,45.172,-38.238,3.5591,0.15571,4.249,20.759,173.79,471.18,2.9254,-3.9393
203.62,-81.262,39.611,-31.473,3.6812,0.15179,3.6891,29.455,234.32,484.9,2.9094,-3.4675
199.86,-72.617,32.656,-25.738,3.7846,0.1493,3.7594,34.808,275.55,502.51,2.6446,-2.9254
193.82,-77.05,38.109,-32.893,3.4412,0.15608,3.8433,29.885,237.79,492.84,2.9576,-3.1722
195.88,-68.858,33.413,-30.384,3.6687,0.15902,3.3578,34.34,262.74,496.26,2.8817,-3.0589
169.87,-74.173,36.485,-27.466,2.954,0.1778,2.8212,31.803,239.77,479.65,2.8481,-3.641
146.9,-58.379,35.18,-34.829,2.507,0.14951,2.2255,35.183,252.36,483.05,3.3862,-3.4147
195.07,-67.424,28.028,-29.989,3.5456,0.15105,0.87383,40.438,262.68,464.95,3.3078,-3.9142
102.12,-41.125,20.225,-24.741,1.5932,0.16562,0.10512,42.264,259.98,461.18,2.6898,-3.9968
0,-2.6148,6.5239,-2.159,0.049371,NaN,-2.3192,76.465,392.49,427.63,1.1101,-4.9741
29.892,-8.8371,9.833,0.17627,0.8763,0.81996,-1.698,72.249,388.41,419.01,1.3132,-5.6375
3.354,6.1243,8.7844,-2.2522,0.45165,NaN,-4.5184,80.086,350.31,381.24,1.4898,-6.8083
50.799,-56.43,34.918,-4.1671,0.70862,0.77225,-3.9668,49.354,230.05,273.64,2.3999,-11.783
52.009,-61.022,40.318,-6.4608,0.70083,0.74626,-1.2397,49.203,280.65,342.99,2.7217,-8.6563
62.708,-55.404,33.576,-12.626,0.79703,0.70576,1.3327,53.255,357.61,434.9,3.004,-5.2251
29.634,-39.181,34.503,-18.253,0.1891,0.76147,-2.9829,47.206,233.31,346.82,3.7766,-7.9131
62.171,-77.376,59.922,-28.532,0.45655,0.73961,-0.607,16.762,104.74,311.43,3.2917,-10.233
