NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Pressure Air,Pressure Surface,Wind Speed,Ts
153.98,14.187,13.888,8.6016,5.3784,0.19635,3.174,96.9,743.45,503.98,0.809,-2.6294
675.6,7.3139,3.1596,1.2639,19.39,0.2089,5.072,83.7,733.66,578.11,0.183,-0.76468
401.6,21.325,25.543,14.125,13.05,0.2057,4.111,92,754.01,541.65,1.498,-1.6534
175.43,23.792,12.87,7.2158,6.1866,0.20799,4.096,92.3,755.68,527.1,0.711,-2.023
82.09,25.026,9.2068,4.7395,3.4151,0.19203,3.526,91,715.75,513.58,0.528,-2.3746
79.84,25.466,1.2217,0.73878,3.026,0.1786,6.2,90.5,857.78,537.79,0.052,-1.7505
154.68,28.991,77.197,63.377,9.1469,0.21681,9.9,94.9,1156.8,590.38,2.52,-0.47676
72.44,28.551,38.635,16.293,4.3984,0.17868,6.406,80.5,773.91,562.04,1.732,-1.15
68.33,28.551,80.817,79.496,7.2553,0.20268,8.46,107,1183.7,574.06,2.937,-0.86086
45.92,27.493,85.515,78.697,6.7033,0.17455,10.32,99.3,1244.9,603.67,2.764,-0.17064
12.048,13.658,59.568,56.03,3.9861,0.18319,11.22,98.4,1309.8,617.19,1.822,0.13445
1.823,13.923,189.03,161.87,10.343,NaN,11.85,92,1276.7,644.89,5.77,0.74158
1.398,11.191,88.497,80.3,5.1168,NaN,11.39,95.9,1291,630.93,2.74,0.43852
0.437,14.54,55.918,39.961,3.1272,NaN,9.22,90.2,1050.4,592.85,1.967,-0.41928
1.701,17.183,142.38,122.94,8.0173,NaN,11.44,93.3,1260.1,635.26,4.431,0.53334
1.738,10.134,141.43,119.35,7.6913,NaN,11.77,91.6,1264.5,635.26,4.272,0.53334
1.632,6.8733,65.159,52.533,3.56,NaN,11.41,90.6,1221.3,612.94,1.945,0.039219
0,-3.4366,50.249,37.4,2.3756,0.92262,9.21,92.1,1071.8,569.23,1.676,-0.97641
0,-22.382,110.81,77.604,4.6838,NaN,10,87.8,1077.5,582.18,3.529,-0.66861
0.661,-9.4287,47.726,33.754,2.0512,NaN,10.48,87.1,1103.7,594.51,1.493,-0.38098
