NET SW,NET LW,EH,EE,melt [cm ice eq. day],daily albedo,TEMP,RH,Pressure Air,Pressure surface,Wind Speed,Ts
178.04,-15.458,25.497,9.9159,5.5853,0.34591,4.484,89.754,743.1,513.11,1.0934,-2.4132
160.55,-13.067,109.86,70.697,9.2541,0.32209,8.2954,84.566,948.27,556.76,2.8245,-1.4831
30.825,26.737,198.65,150.21,11.465,0.26288,13.664,84.478,1307.7,644.11,5.1798,0.71843
141.53,-4.6409,206.64,118.32,13.029,0.24524,9.8512,81.84,995.59,572.36,6.5323,-0.90858
39.558,9.8032,226.13,165.88,12.451,0.27686,9.2066,92.204,1075.5,571.92,7.6515,-0.91709
81.839,20.297,177.39,136.02,11.722,0.24795,11.297,87.747,1170.6,603,5.328,-0.18762
203.29,-1.7881,226.52,113.01,15.262,0.24346,11.905,74.782,1030.2,608.28,6.3741,-0.072283
67.588,7.0605,79.972,40.446,5.5028,0.23992,9.2406,83.462,964.6,567.21,2.4325,-1.0748
57.041,14.018,176.19,102.2,9.8579,0.27632,11.133,80.288,1062.7,617.85,5.2853,0.10774
46.984,5.3496,167.18,92.957,8.8148,0.30171,8.892,81.622,929.4,560.25,5.617,-1.1963
163.55,-9.2617,96.375,29.513,7.9037,0.26019,7.5688,81.729,815.23,549.86,2.7602,-1.5626
168.15,-5.456,247.68,163.39,16.186,0.24514,12.74,79.895,1169.1,626.17,6.7904,0.32271
102.45,-9.4985,96.971,48.911,6.7373,0.26004,7.8602,81.13,862.23,540.64,3.0958,-1.7213
40.759,12.882,152.32,97.448,8.5591,0.27666,10.406,84.716,1067.9,582.73,4.6994,-0.66166
156.94,-27.497,206.68,86.944,11.935,0.24926,7.9783,76.363,813.26,537.95,7.1926,-1.7571
112.03,2.8418,209.07,127.43,12.733,0.2479,8.8117,85.503,971.13,561.03,7.0982,-1.1867
17.635,20.969,60.049,53.569,4.2941,0.23227,8.4177,101.95,1126.1,588.99,2.2236,-0.53454
47.227,8.6687,168.14,126.54,9.8897,0.26811,9.3483,94.337,1123.2,624.83,5.8557,0.17179
151.2,-9.3847,212.4,107.92,13.037,0.25395,8.5089,80.306,891.01,552.01,7.2203,-1.4044
77.709,-1.2961,159.38,109.37,9.7369,0.26975,8.6206,90.015,1006.2,555.32,5.4439,-1.325
26.73,4.4794,146.3,87.545,7.4771,0.31976,7.4117,87.277,900.76,536.82,5.4434,-1.7777
119.17,-20.616,62.928,27.379,5.3278,0.26587,4.6333,84.328,709.39,495.36,2.6752,-2.8935
135.06,-39.633,14.971,6.6483,3.3017,0.32689,1.6824,95.152,654.17,458.63,0.86827,-3.9461
