NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Pressure Air,Pressure Surface,Wind Speed,Ts
403,-24.401,74.736,-20.449,12.212,0.40883,3.868,63.74,513.56,589.07,6.099,-0.50704
469.6,-25.544,85.314,-21.238,14.334,0.41672,3.985,64.58,524.62,593.54,6.941,-0.40342
247.5,-8.6737,104.14,-24.584,8.9814,0.44742,4.454,61.52,516.47,589.97,7.534,-0.48631
147.7,-1.9063,103.64,-20.924,6.4462,0.4689,4.352,62.84,523.8,586.41,7.527,-0.56927
94.6,0.095315,79.013,-12.887,4.5367,0.48559,4.491,63.36,533.3,585.52,5.558,-0.59002
91.8,2.6688,38.733,-7.5295,3.5452,0.48018,5.461,58.45,526.38,597.13,2.397,-0.3206
94.33,4.2892,38.365,-6.4511,3.6823,0.45662,6.041,57.35,537.64,603.44,2.208,-0.17586
70.04,3.4313,64.691,-5.4368,3.7441,0.46164,5.449,62.41,561.57,592.64,3.941,-0.42413
52.17,2.0969,53.193,-1.9018,2.9778,0.46272,4.708,67.45,576.4,588.19,3.635,-0.52778
29.29,4.2892,46.595,0.00050571,2.2617,0.4588,4.813,68.43,589.08,589.07,3.137,-0.50704
18.01,-3.2407,69.791,-0.24503,2.3785,0.45175,4.986,67.06,584.29,585.52,4.483,-0.59002
0.674,-13.725,59.541,0.39514,1.3226,0.63548,4.475,69.27,582.39,580.22,4.105,-0.71464
0,-12.296,35.901,0.79002,0.68818,NaN,4.188,70.62,581.92,574.96,2.555,-0.83943
0.407,4.4798,45.703,2.6298,1.5013,NaN,4.865,69.87,603.66,583.75,2.975,-0.63154
0.676,5.0517,37.386,4.6556,1.3475,NaN,4.717,73.26,626.45,584.64,2.508,-0.61078
0,-12.105,30.982,5.3842,0.6844,NaN,4.299,76.01,631.23,574.96,2.155,-0.83943
0,-8.8643,30.754,6.6853,0.8061,NaN,4.31,77.81,646.68,576.71,2.152,-0.79782
0,-15.727,26.927,6.1789,0.49026,NaN,4.142,78.77,646.99,574.96,1.932,-0.83943
0,-4.8611,51.229,11.1,1.6211,NaN,3.942,79.27,642.02,577.59,3.88,-0.77701
24.31,-1.9063,103.27,22.206,4.1717,0.48111,4.295,78.58,652.39,586.41,7.58,-0.56927
72.78,1.525,103.6,22.759,5.6605,0.44696,4.47,78.44,659.26,590.86,7.494,-0.46558
123.3,-19.349,114.37,18.576,6.6829,0.43904,4.49,75.76,637.62,585.52,8.03,-0.59002
272.7,-28.309,115.57,-0.36874,10.144,0.40013,4.744,68.95,590.7,591.75,7.935,-0.44485
537.3,-50.136,104.62,-0.16986,16.689,0.38241,4.924,69.08,599.3,599.83,7.192,-0.25854
582.8,-53.567,54.743,-4.5603,16.345,0.39101,5.01,68.24,595.57,620.84,4.064,0.21586
471.8,-46.514,56.554,2.1479,13.653,0.3999,4.965,71.77,624.41,612.55,4.079,0.030516
592.2,-11.057,96.1,12.095,19.446,0.41016,5.049,74.14,648.82,607.99,6.671,-0.072614
367.1,-3.8126,105.2,15.598,13.656,0.41951,5.022,74.43,650.13,600.73,7.111,-0.23787
303.8,-8.0064,138.01,21.619,12.847,0.41577,4.909,74.97,649.71,598.03,9.42,-0.29991
119.6,5.7189,158.93,35.704,9.0257,0.43771,4.931,77.07,668.94,592.64,10.54,-0.42413
105,6.672,132.13,26.541,7.6264,0.45369,5.334,74.9,668.6,596.23,8.26,-0.3413
75.36,9.2455,79.849,17.867,5.1432,0.47338,5.423,75.7,679.93,598.93,4.968,-0.27922
262.4,4.7657,39.025,7.2296,8.8415,0.4196,6.115,73.25,690.22,620.84,2.347,0.21586
178.1,-5.7189,44.513,6.9231,6.3138,0.4193,5.928,72.12,670.84,612.55,2.675,0.030516
44.32,-0.095315,46.583,7.3269,2.7683,0.39329,5.732,71.74,658.32,598.03,2.737,-0.29991
3.851,-22.685,41.806,3.6371,0.75064,0.48899,5.805,68.08,627.9,593.54,2.384,-0.40342
0,-7.2439,59.909,8.9439,1.738,0.454,5.504,72,650.34,594.43,3.603,-0.38271
0,-7.1486,65.915,8.2523,1.8906,NaN,5.571,70.65,641.12,593.54,3.906,-0.40342
0,-16.489,101.72,14.595,2.8162,0.16681,5.232,72.45,642.16,589.97,6.298,-0.48631
0,-26.498,147.65,25.732,4.1436,0.16121,5.127,73.89,650.15,587.3,9.22,-0.54852
0,-31.359,182,31.215,5.1302,0.46716,5.08,73.96,648.64,587.3,11.46,-0.54852
0,-28.785,148.71,22.807,4.0265,NaN,5.17,72.94,643.72,588.19,9.25,-0.52778
0,-15.155,117.97,18.542,3.4234,NaN,5.061,73.38,642.71,586.41,7.418,-0.56927
22.3,-21.255,97.046,9.5498,3.0365,0.49502,5.127,70.78,622.79,587.3,6.06,-0.54852
107.15,-31.454,100.89,7.0806,5.1811,0.4132,4.816,71.08,612.02,588.19,6.691,-0.52778
255.6,-22.304,69.301,4.2326,8.6556,0.39802,5.422,69.15,621.05,598.93,4.308,-0.27922
285.6,6.3861,100.73,6.024,11.248,0.40587,5.704,68.69,629.11,607.08,6.158,-0.093254
95.98,8.483,48.902,2.4507,4.3955,0.45435,6.356,65.95,631.85,611.64,2.731,0.0098991
243.2,-17.347,52.625,1.8313,7.9074,0.41256,6.824,63.78,631.05,616.23,2.782,0.11294
566.8,-26.212,86.657,1.9521,17.749,0.38988,6.776,65.65,647.42,638.6,4.988,0.6059
565.7,-21.827,123.91,6.0834,19.01,0.40138,5.71,69.72,638.81,621.77,8.04,0.23643
314.4,8.2924,158.9,67.678,15.495,0.42805,5.359,84.8,758.29,617.15,10.8,0.13353
208.5,9.9127,137.56,105.8,13.026,0.4325,4.497,98.7,831.1,607.99,10.68,-0.072614
284.8,0.095315,121.21,92.381,14.062,0.41675,4.317,98.7,820.7,607.08,9.74,-0.093254
254.1,-3.4313,112.12,58.082,11.873,0.42158,4.564,89.8,759.71,604.35,8.42,-0.1552
171.5,-3.622,103.31,33.63,8.5987,0.42119,4.392,83.1,694.62,597.13,7.769,-0.3206
124.7,-19.349,109.72,24.693,6.7636,0.43778,4.215,79.47,656.09,588.19,8.19,-0.52778
62.18,-55.95,119.09,19.699,4.0909,0.47394,3.987,77.26,627.72,577.59,8.85,-0.77701
12.13,-67.388,136.27,-2.0042,2.2289,0.50185,3.57,71.56,564.6,568.86,10.58,-0.98524
0,-55.95,139.34,-19.305,1.8079,NaN,3.704,66.62,530.61,571.47,10.64,-0.92272
0,-8.769,89.858,-8.2609,2.0545,NaN,3.584,69.26,546.99,573.21,7.095,-0.88107
0,-28.023,71.649,-3.0378,1.145,NaN,2.932,73.53,554.56,565.4,6.314,-1.0687
0,-31.835,71.007,2.3605,1.1716,NaN,2.538,77.47,568.17,560.24,6.701,-1.1939
0,-27.355,56.954,-4.4264,0.7101,NaN,2.718,72.93,541.75,561.09,5.155,-1.173
0,-44.703,71.58,0.61382,0.7755,NaN,2.25,77.88,559.59,557.67,7.189,-1.2566
0,-50.231,53.906,-2.8131,0.024307,0.020052,2.453,74.04,539.74,552.55,4.945,-1.3822
0,-40.223,78.548,-0.8922,1.056,NaN,2.181,77.16,551.7,554.25,7.856,-1.3403
12.05,-26.212,86.842,-3.5137,1.9512,0.48083,2.256,76.44,549.48,558.52,8.75,-1.2357
37.28,-30.405,67.988,-5.1316,1.9671,0.43309,2.184,75.52,540.09,556.81,6.91,-1.2775
79.44,-30.405,83.919,-3.7728,3.6441,0.41802,2.338,75.95,549.15,559.38,8.31,-1.2148
131.1,-26.307,108.54,-10.263,5.7286,0.41681,2.447,74.13,540.17,561.95,10.61,-1.1522
210.6,-25.258,111.49,-9.0381,8.1184,0.41549,2.642,74.05,547.11,566.26,10.63,-1.0478
276.5,-28.69,107.58,-4.2317,9.906,0.41789,2.83,74.69,559.25,568.86,9.92,-0.98524
465.1,-36.124,86.918,-11.694,14.223,0.40272,2.942,72.42,546.58,578.46,8.26,-0.75622
584.7,-41.653,97.858,-11.232,17.763,0.40154,2.83,74.15,555.21,581.1,9.77,-0.69386
343.3,-39.556,137.98,-10.579,12.162,0.42525,3.089,72.61,553.75,573.21,12.24,-0.88107
318.8,-31.168,121.7,-15.715,11.104,0.42867,3.607,68.7,543.45,579.34,9.86,-0.73543
275.7,-44.512,104.62,-8.4618,9.2343,0.42128,4.146,68.04,559.01,583.75,7.704,-0.63154
239.6,-47.848,158.1,-9.0059,9.6153,0.41873,4.553,66.82,564.87,583.75,10.74,-0.63154
205.7,-43.94,195.27,-9.117,9.8144,0.42056,4.476,67.28,565.7,581.1,13.33,-0.69386
235.5,-47.276,201.77,-2.2935,10.937,0.44627,4.54,68.46,578.2,581.99,13.66,-0.67308
88.2,-64.052,172.79,1.7274,5.6043,0.4931,4.443,69.25,580.92,577.59,11.67,-0.77701
13.78,-67.388,168.06,1.5249,3.2718,0.58026,4.941,66.98,581.77,578.46,10.4,-0.75622
0,-71.295,98.944,-1.2557,0.74454,NaN,5.435,64.19,577.03,581.99,5.705,-0.67308
0,-72.725,139.82,-38.595,0.80388,NaN,5.454,52.93,476.44,583.75,8.1,-0.63154
0,-70.342,108.07,-17.813,0.56182,0.025528,4.504,61.18,515.42,572.34,7.048,-0.90189
0,-46.514,120.33,-31.118,1.2046,0.40928,4.365,58.62,489.07,574.96,8.16,-0.83943
0,-28.69,117.2,-33.657,1.5473,0.071607,4.267,58.55,485.14,577.59,8.2,-0.77701
0,-14.869,107.64,-1.2525,2.5818,0.41691,3.755,71.95,575.12,578.46,8.43,-0.75622
