NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Pressure Air,Pressure Surface,Wind Speed,Ts
518.7,-94.033,7.7895,-16.224,11.742,0.38323,3.574,32.72,258.23,596.25,1.081,-0.34068
657,-90.994,19.764,-48.726,15.15,0.36027,4.04,27.72,226.06,619.68,2.788,0.1901
764.7,-87.17,26.715,-65.128,18.029,0.34134,4.244,29.08,240.57,629.24,3.774,0.40155
829.8,-83.443,22.571,-48.959,20.31,0.32206,5.394,28.07,251.61,653.61,2.743,0.92804
834.5,-79.619,21.235,-44.241,20.646,0.31542,6.434,24.85,239.36,675.62,2.284,1.3889
793.3,-77.56,26.236,-54.134,19.404,0.31906,5.399,33.29,298.51,663.55,3.34,1.1378
705,-75.109,19.946,-28.393,17.531,0.33175,5.968,39.81,371.33,660.56,2.211,1.0749
558.1,-76.089,35.667,-55.652,13.034,0.35554,5.254,39.15,347.54,642.8,4.245,0.69676
362.1,-78.051,23.81,-31.442,7.7976,0.43563,5.802,39.13,360.82,641.83,2.52,0.6757
220.2,-77.756,22.921,-29.359,3.8367,0.44324,5.339,38.5,343.79,618.73,2.405,0.16893
17.75,-74.815,22.718,-20.729,-1.5537,0.48461,3.14,47.52,363.71,543.55,2.596,-1.6058
0,-73.148,16.914,-7.8143,-1.8068,NaN,1.409,59.61,403.32,488.76,2.06,-3.0422
0,-74.913,22.858,-9.0272,-1.7231,NaN,1.514,55.85,380.74,466.02,2.384,-3.6807
0,-76.972,20.557,-7.7261,-1.8094,NaN,1.13,55.1,365.41,448.55,2.093,-4.1903
0,-78.737,25.05,-6.5172,-1.6983,NaN,1.535,54.04,368.95,435.22,2.215,-4.5912
0,-75.991,26.086,-13.469,-1.7878,NaN,1.839,39.84,277.99,423.62,2.083,-4.949
0,-80.11,29.636,-18.665,-1.9504,NaN,2.448,31.94,232.76,425.06,2.186,-4.9042
0,-80.6,32.057,-17.084,-1.8513,NaN,1.477,36.97,251.36,405.96,2.489,-5.511
0,-79.914,42.118,-24.216,-1.7493,NaN,1.554,31.85,217.75,394.94,3.078,-5.8726
0,-82.855,54.403,-32.281,-1.7133,NaN,2.776,24.73,184.46,396.31,3.432,-5.8273
0,-85.797,47.209,-32.397,-2.0024,NaN,3.381,16.87,131.34,394.94,2.768,-5.8726
0.733,-84.032,53.774,-34.482,-1.8056,0.91001,1.579,25.15,172.25,382.15,3.7,-6.3038
10.38,-82.659,55.846,-33.425,-1.4065,0.62541,2.04,25.03,177.17,383.48,3.649,-6.2583
371.4,-94.622,32.449,-58.206,7.0812,0.39334,4.382,12.54,104.75,546.15,2.97,-1.541
538.6,-95.112,26.875,-49.379,11.876,0.35957,5.256,21.62,191.95,604.61,2.695,-0.14924
683.4,-90.503,31.023,-58.853,15.94,0.33262,6.718,19.27,189.28,650.65,2.873,0.86502
793.2,-82.561,24.88,-42.199,19.558,0.31146,7.371,21.11,216.84,660.56,2.142,1.0749
856.9,-80.894,37.359,-62.909,21.17,0.2982,7.591,23.4,244.01,676.64,3.275,1.4097
865.5,-75.991,20.017,-27.496,22.061,0.28999,7.671,31.71,332.47,682.74,1.768,1.535
812.8,-72.952,26.244,-38.56,20.523,0.29444,7.143,31.37,317.25,672.59,2.444,1.3261
712.4,-70.01,35.229,-51.765,17.655,0.30768,6.494,33.84,327.31,659.56,3.509,1.0539
573.3,-69.618,24.696,-30.06,14.057,0.33104,7.144,35.37,357.72,662.55,2.221,1.1168
386.1,-71.187,28.598,-26.787,8.9347,0.38313,6.598,42.6,415,643.78,2.637,0.71781
233.5,-71.383,30.215,-27.884,4.639,0.39382,6.028,42.46,397.69,620.63,2.817,0.21127
21.64,-73.05,25.282,-18.447,-1.2575,0.44112,4.478,50.01,420.55,578.89,2.624,-0.74616
0,-77.07,20.68,-12.067,-1.9311,NaN,2.427,56.54,411.41,522.29,2.451,-2.1472
0,-77.07,24.759,-8.93,-1.7276,NaN,3.237,53.42,411.68,500.84,2.256,-2.7137
0,-78.345,20.394,-4.6725,-1.7666,NaN,0.658,67.18,430.63,470.66,2.629,-3.5482
0,-78.345,24.581,-7.3701,-1.7246,NaN,1.471,57.6,391.46,458.36,2.481,-3.9019
