NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Pressure,Wind Speed
0,-69.6,11.399,-18.668,-2.1684,NaN,3.029,54.89,416.83,1.862
0,-51.5,14.387,-24.486,-1.7377,NaN,2.684,58.33,432.26,2.653
0,-47.2,8.3007,-15.145,-1.5246,NaN,2.502,59.12,432.48,1.643
0,-59.1,7.6367,-16.308,-1.9118,NaN,2.046,62.16,440.19,1.849
0,-59.9,8.4922,-24.269,-2.1348,NaN,1.552,64.02,437.62,2.711
0,-36.2,12.251,-25.94,-1.4073,NaN,2.253,59.06,424.45,2.693
3.423,-30.8,6.5034,-16.759,-1.0616,0.28103,1.794,61.85,430.18,1.795
50.956,-40.6,9.6409,-20.82,-0.023213,0.13824,2.617,52.87,389.93,1.824
98.49,-50.4,12.875,-25.63,0.99679,0.13225,3.44,43.89,343.12,1.853
197.48,-52.2,35.669,-53.886,3.5844,0.12192,5.402,32.53,291.76,3.269
306.41,-55.1,52.17,-62.309,6.8033,0.12128,6.259,33.47,318.53,4.126
436.58,-65.8,74.597,-85.19,10.161,0.12403,6.6065,32.385,315.67,5.5865
566.76,-76.5,99.1,-108.63,13.561,0.12551,6.954,31.3,312.46,7.047
460.99,-82.5,101.98,-99.301,10.753,0.12542,7.351,32.23,330.62,6.859
344.51,-64.9,100.02,-93.456,8.0728,0.12517,6.396,39.22,376.79,7.728
277.88,-42.5,48.352,-32.091,7.0986,0.10966,3.653,65.01,515.93,6.537
211.24,-20.1,9.857,-5.0491,5.5276,0.08316,0.91,90.8,592.71,5.346
159.6,-17,5.9412,-8.0712,3.9626,0.081703,0.527,91.8,582.91,5.564
109.67,-15,1.9223,-9.2488,2.4639,0.083793,0.134,94.9,585.69,7.078
45.181,-13.5,0.78913,-5.8061,0.75218,0.075486,0.101,94.5,581.83,3.855
10.783,-19.3,0.74888,-1.8218,-0.27053,0.086186,0.434,90.3,569.54,0.851
5.9365,-19.1,3.0092,-4.8901,-0.4244,NaN,1.0215,82.945,545.8,1.4525
1.09,-18.9,6.7042,-9.7756,-0.58906,NaN,1.609,75.59,518.83,2.054
1.761,-22.7,7.029,-11.374,-0.71324,NaN,1.98,68.83,485.13,1.75
0.672,-30.35,6.9829,-12.602,-0.99571,NaN,2.031,66.025,467.06,1.6955
0,-38,6.9256,-13.74,-1.2642,0.76144,2.082,63.22,448.85,1.641
0,-56.1,5.8916,-13.988,-1.811,NaN,2.134,57.85,412.25,1.363
0,-45,10.652,-24.076,-1.6481,NaN,2.521,52.91,387.58,2.087
0,-16.7,11.087,-23.387,-0.81808,NaN,2.52,54.96,402.56,2.173
0,-16.4,12.656,-27.7,-0.88703,NaN,2.148,59.82,426.71,2.911
1.134,-14.6,10.063,-19.019,-0.63251,0.40938,2.429,59.22,430.97,2.046
26.595,-10.6,9.5163,-15.265,0.28904,0.1266,2.394,63.4,460.24,1.961
93.16,-10.2,3.971,-5.2072,2.3054,0.087561,1.083,84,555.19,1.807
242.67,-32.1,10.892,-5.6503,6.088,0.10947,2.174,79.3,566.71,2.471
415.66,-66.7,9.7339,-4.8795,9.981,0.11562,5.744,54.22,497.96,0.836
501.78,-78,33.489,-15.451,12.464,0.11596,7.461,46.04,475.84,2.214
361.99,-65.6,58.539,-34.86,9.029,0.11989,6.881,45.31,450.06,4.195
356.69,-71.1,73.919,-42.442,8.9442,0.12006,6.74,46.66,459.01,5.408
351.38,-76.6,88.605,-48.979,8.8693,0.12023,6.599,48.01,467.73,6.621
252.1,-47.8,61.282,-32.831,6.5658,0.11668,4.642,60.34,513.27,6.506
261.46,-71.1,39.953,-16.116,6.0424,0.12085,5.102,60.36,530.18,3.862
98.56,-38.4,40.822,-11.854,2.5143,0.12391,4.429,66.88,560.49,4.545
142.71,-38.3,27.393,-7.2303,3.5142,0.12555,4.313,68.12,566.26,3.13
70.707,-23.85,21.977,-1.4623,1.9005,0.1396,3.4475,76.96,601.98,3.139
0,-9.4,16.52,3.2887,0.29363,NaN,2.582,85.8,631.23,3.148
0,-8.8,17.67,-2.1906,0.18843,NaN,2.7905,80.005,597.38,3.114
0,-8.2,18.793,-7.7363,0.080589,NaN,2.999,74.21,562.35,3.08
0,-12.3,13.586,-5.8067,-0.12753,NaN,2.605,76.96,567.12,2.563
0,-13.4,28.981,-16.805,-0.034528,NaN,2.502,75.71,553.84,5.694
0,-21.6,6.3542,-2.8397,-0.51019,NaN,1.643,84.6,582.08,1.902
0,-16.1,2.9868,-1.7478,-0.41922,NaN,1.665,83.1,572.67,0.883
0,-17.9,4.7292,-3.9698,-0.48353,NaN,2.219,75.01,537.78,1.05
0,-28.9,3.4158,-3.5161,-0.81809,NaN,2.607,68.6,505.59,0.646
0,-56.3,3.5305,-5.387,-1.6406,NaN,2.283,65.85,474.26,0.763
0.536,-32.5,7.0793,-11.958,-1.0393,0.81389,2.635,59.07,436.22,1.325
38.936,-55.8,17.915,-23.215,-0.62523,0.15191,3.536,54.76,431.01,2.498
107.54,-51.4,4.849,-5.7407,1.5585,0.12569,3.572,56.37,444.81,0.669
235.05,-60.15,22.429,-20.451,4.9897,0.119,5.181,48.155,425.31,2.133
362.56,-68.9,49.581,-40.256,8.5471,0.117,6.79,39.94,394.25,3.597
551.93,-67.8,73.755,-55.151,14.182,0.12071,7.134,39.7,401.24,5.092
375.22,-75.3,87.662,-51.088,9.4924,0.12126,7.82,40.77,431.82,5.522
396.28,-80.8,81.057,-38.802,10.092,0.12016,9.21,37.61,437.69,4.336
280.98,-73.3,97.492,-56.771,7.0073,0.12056,9.64,32.59,390.4,4.984
132.76,-53.6,91.923,-56.929,3.2202,0.12254,8.94,34.43,393.45,5.068
154.96,-45.9,75.77,-38.385,4.1311,0.12054,6.715,48.59,477.17,5.555
121.09,-45.4,53.549,-22.048,3.024,0.12186,6.1965,53.885,510.61,4.2535
87.23,-44.9,34.062,-10.665,1.8541,0.1242,5.678,59.18,541.03,2.952
21.947,-15.9,15.234,-0.84266,0.57655,0.17368,3.083,79.27,604.28,2.429
19.011,-34.3,11.128,-2.6154,-0.19115,0.20788,2.047,83.6,592.06,2.674
7.232,-45.7,16.486,-11.999,-0.95859,0.31206,2.9535,69.69,526.4,2.747
0,-57.1,22.107,-23.564,-1.6519,NaN,3.86,55.78,449.17,2.82
0,-26.7,27.462,-29.326,-0.80578,NaN,4.281,51.99,431.21,3.159
0,-46.6,25.034,-28.476,-1.4117,NaN,4.483,48.81,410.6,2.752
0,-62.4,26.837,-32.029,-1.9068,NaN,4.168,50.51,415.63,3.175
0,-61.25,28.858,-39.082,-2.0163,NaN,3.948,49.51,401.16,3.607
0,-60.1,30.491,-46.712,-2.153,NaN,3.728,48.51,387.02,4.039
0,-53.2,23.682,-35.902,-1.8455,NaN,3.594,50.29,397.45,3.256
0,-52.2,16.909,-28.206,-1.7912,NaN,3.198,52.3,401.94,2.613
0,-55,17.392,-33.03,-1.9927,NaN,2.896,52.57,395.47,2.968
42.611,-43,21.389,-34.949,-0.39348,0.14948,3.472,49.61,388.72,3.045
105.87,-29.3,22.462,-21.295,2.1929,0.12068,4.958,49.08,426.8,2.239
242.81,-47,18.37,-13.552,5.6596,0.11026,7.098,40.25,405.8,1.279
215.74,-62.4,10.127,-7.1018,4.411,0.11582,7.099,41.25,415.91,0.705
278.21,-75.3,12.269,-7.4725,5.8593,0.11791,8.1,38.7,417.78,0.749
358.88,-82.9,72.475,-41.219,8.667,0.11671,9.02,35.7,410.17,3.975
611.3,-98.3,115.83,-52.64,16.254,0.12106,8.98,39.38,451.23,6.381
247.92,-63.5,99.501,-40.404,6.8695,0.12272,8.29,43.82,479.2,5.937
146.69,-37,52.451,-6.6636,4.386,0.12239,5.9395,62.46,581.45,4.3675
45.465,-10.5,20.308,4.2941,1.6804,0.1206,3.589,81.1,640.72,2.798
64.57,-11,10.982,4.4129,1.9455,0.10095,2.744,87.9,654.16,1.98
51.907,-16,12.88,3.9156,1.4867,0.12186,3.575,82.8,653.51,1.784
