NET SW,NET LW,EH,EE,melt [cm ice eq. day],daily albedo,TEMP,RH,Pressure Air,Pressure surface,Wind Speed,Ts
129.44,-43.074,48.315,1.0797,3.8299,0.44072,3.5887,73.403,578.82,573.13,3.9021,-0.8953
67.496,-5.9532,70.967,3.1425,3.8267,0.46294,4.2511,72.83,602.31,585.06,5.2977,-0.6024
82.902,-6.5092,63.245,5.7617,4.1017,0.44422,3.5558,76.842,606.2,577.93,5.2156,-0.77032
131.82,-38.325,56.649,2.9726,4.3193,0.44069,5.1712,70.079,615.32,590.05,3.302,-0.50753
57.25,18.519,58.824,28.132,4.5904,0.46274,6.7055,83.307,817.65,615.58,3.1676,0.096272
146.31,-28.221,74.688,16.633,5.9075,0.43927,7.014,72.473,720.97,615.17,3.6414,0.073304
105.22,-7.8992,77.604,7.3395,5.1417,0.42696,4.926,71.67,622.98,593.83,5.1578,-0.39854
114.22,-3.761,60.686,7.958,5.0525,0.43751,4.929,73.805,639.63,595.95,4.0193,-0.35348
93.992,-17.173,158.09,22.721,7.2677,0.45263,6.434,68.775,660.67,610.01,8.7133,-0.028115
132.62,-41.883,116.49,-3.8173,5.7381,0.43556,5.1635,65.729,579.3,591.65,7.3747,-0.44958
33.835,8.2805,95.017,15.175,4.2965,0.50962,6.5179,69.518,673.06,612.44,5.1501,0.023785
117.38,-43.269,80.384,-10.055,4.0745,0.44144,2.9598,71.104,538.08,567.28,7.179,-1.0246
113.64,-45.981,56.321,-9.6645,3.2248,0.4452,3.8794,66.145,521.1,578.14,4.1782,-0.78599
59.032,5.3853,128.58,21.117,6.0401,0.44152,5.8099,71.594,660.17,609.3,7.8477,-0.059044
109.63,-5.2701,63.642,-2.838,4.6591,0.43717,3.8671,71.765,580.79,583.69,5.2301,-0.64061
115.45,-7.0215,60.444,9.0746,5.0199,0.41864,6.861,69.062,683.19,619.35,3.2098,0.1772
69.837,-13.082,119.6,5.401,5.1273,0.44214,4.4337,71.529,598.21,589.67,8.6835,-0.49428
73.739,-11.414,102.07,3.2073,4.728,0.44554,6.0276,65.87,618.29,603.97,5.9161,-0.16691
111.18,-10.417,97.387,12.745,5.9492,0.41905,6.1797,70.133,662.8,607.68,5.5407,-0.082599
44.371,2.506,141.67,30.902,6.1907,0.44956,8.0915,68.441,737.53,630.82,6.6173,0.43478
61.82,-15.457,52.956,-5.3675,2.6503,0.56871,1.7083,78.941,545,560.45,6.6273,-1.1918
14.615,-4.5513,51.978,-2.6572,1.6752,0.83346,2.1186,78.33,556.81,564.85,5.8455,-1.0858
27.736,13.388,77.515,25.763,4.0735,0.52053,6.474,76.739,746.46,613.66,4.3177,0.045098
52.662,11.299,201.94,77.023,9.6737,0.47378,8.7484,74.885,843.94,652.85,9.1894,0.90975
105.55,-29.285,60.708,-8.3885,3.6272,0.47366,3.5733,66.366,523.41,577.51,5.0083,-0.78708
55.328,-14.615,144.95,16.259,5.6961,0.44694,7.9719,62.877,672.32,626.79,6.8485,0.34572
34.178,-3.4393,78.741,-0.27916,3.0805,0.61066,3.7522,74.058,584.65,582.86,6.685,-0.66165
95.821,-20.814,112.25,26.916,6.0417,0.41001,5.132,74.37,653.17,597.7,7.457,-0.30878
41.585,-7.5259,122.39,-6.3715,4.2337,0.4304,7.7117,58.393,611.3,618.27,5.4055,0.14802
25.509,17.248,160.73,35.04,6.7288,0.44844,9.3983,66.068,776.37,648.13,6.666,0.8104
50.75,9.5911,114.37,32.049,5.8327,0.405,7.8235,71.632,758.8,628.39,5.5093,0.38081
57.623,9.8135,76.983,19.041,4.6112,0.40711,6.8473,73.095,723.89,614.35,4.061,0.068818
36.446,12.212,102.85,25.981,5.007,0.42205,7.7011,70.984,743.43,622.6,4.9249,0.25227
124.12,-24.258,120.36,-3.3263,6.1187,0.37353,4.985,67.301,590.89,592.97,7.9927,-0.42464
33.417,-23.229,43.715,-9.8904,1.2416,0.62276,1.339,76.331,513.16,551.05,5.5479,-1.4219
