NET SW,NET LW,EH,EE,melt [cm ice eq. day],daily albedo,TEMP,RH,Pressure,Wind Speed
248.03,-97.085,61.76,-49.223,4.6117,0.13121,5.3301,48.97,410.71,4.3546
246.81,-99.14,78.072,-63.271,4.5833,0.13024,6.4161,40.427,368,4.8052
244.6,-103.15,58.89,-44.062,4.4085,0.13411,6.9277,41.496,391.48,3.8102
241.67,-97.462,67.488,-39.898,4.8465,0.13269,6.7665,45.083,429.43,4.1491
238.97,-102.35,63.731,-51.05,4.2118,0.1301,6.6096,39.91,372.98,4.0521
249.86,-101.69,81.935,-61.694,4.7508,0.13311,7.9731,33.196,342.71,4.4238
237.11,-99.531,80.181,-52.116,4.6727,0.13469,8.5154,33.261,359.02,3.9662
199.77,-90.117,65.052,-40.382,3.7891,0.13276,10.271,27.918,337.36,2.9057
220.68,-85.794,54.413,-28.864,4.5258,0.13349,6.3126,52.461,485.12,3.3886
225.84,-100.47,51.878,-51.203,3.5557,0.1385,5.842,33.917,301.15,3.1289
187.05,-87.74,41.419,-49.958,2.5606,0.13638,4.4126,44.466,363.83,3.9579
211.68,-105.26,35.179,-67.92,2.0786,0.13553,3.6004,36.51,268.47,3.5707
217.23,-103.98,46.557,-67.654,2.5997,0.13822,4.8605,30.737,264.55,3.8442
228.38,-112.35,53.113,-77.015,2.599,0.13899,6.4632,25.27,219.85,3.6568
209.35,-108.25,65.506,-80.677,2.4239,0.13586,7.7299,20.091,204.82,3.8276
151.42,-80.7,69.93,-70.505,1.9788,0.1381,7.0643,31.963,315.04,4.5197
215.51,-98.796,43.613,-55.196,2.9658,0.13947,5.2149,34.95,299.49,3.4451
158.85,-82.906,40.815,-55.695,1.7227,0.1391,4.974,34.747,294.51,3.3135
210.36,-93.798,50.719,-62.743,2.9491,0.13807,5.254,31.608,276.58,3.6964
166.62,-84.662,45.339,-45.595,2.3048,0.13974,5.6998,37,331.88,3.2631
202.31,-94.469,45.597,-45.836,3.0355,0.13823,5.1745,43.061,368.56,3.6383
155.14,-72.95,50.904,-48.793,2.3781,0.1346,4.8474,45.871,386.16,4.1532
100.95,-42.777,34.908,-33.742,1.6738,0.13881,6.2146,38.89,365.35,2.63
