NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Pressure Air,Pressure Surface,Wind Speed,Ts
0.915,11.077,47.287,17.476,2.1652,NaN,4.659,83.4,710.27,589.04,3.247,-0.50774
0,10.408,71.257,46.521,3.6161,NaN,3.622,96,760.2,582.83,5.907,-0.65328
0.031,11.936,47.476,30.912,2.5489,0.96928,3.912,95.5,771.84,586.37,3.754,-0.57008
0,2.3872,57.066,33.5,2.6222,NaN,4.693,91.8,783.67,593.52,3.968,-0.40393
0,12.986,52.339,26.419,2.5881,NaN,4.527,88.9,750.15,588.15,3.673,-0.52852
0,5.6338,70.069,23.023,2.785,NaN,5.502,79.41,717.17,594.41,4.224,-0.38318
6.786,-10.79,90.077,39.363,3.5385,0.45274,4.831,85.8,739.54,595.31,6.147,-0.36243
26.75,-22.822,117.66,40.418,4.57,0.53998,4.299,83.2,690.94,582.83,8.42,-0.65328
67.61,-11.936,140.4,36.856,6.5708,0.52687,5.029,78.73,688.03,599.82,9.41,-0.25879
184.8,-9.7398,64.798,22.067,7.3888,0.51343,3.763,85,679.81,585.49,5.269,-0.59087
95.1,-8.7849,91.369,28.988,5.8301,0.56054,4.409,82.3,688.75,589.94,6.607,-0.48697
198.8,-10.504,111.68,33.539,9.4083,0.52655,4.122,82.6,677.5,589.04,8.54,-0.50774
281.6,-4.297,96.117,19.392,11.081,0.51322,4.543,77.7,656.38,592.62,6.85,-0.42468
214.4,-2.4827,73.063,9.8096,8.3159,0.52931,4.407,75.76,633.93,592.62,5.348,-0.42468
699.4,-6.7797,88.961,5.0997,22.192,0.47571,4.557,73.9,624.89,607.99,6.796,-0.072521
206.5,-5.8248,74.84,10.495,8.0682,0.5221,5.056,74.34,650.89,604.35,5.079,-0.15526
570,-9.7398,130.21,5.0956,19.622,0.48463,5.069,70.35,616.51,603.44,8.78,-0.17596
192.1,-1.1459,82.017,18.584,8.2247,0.49234,4.978,77.35,673.57,597.11,5.474,-0.32096
112,2.6737,54.26,6.4318,4.947,0.51304,5.183,72.47,640.15,598.91,3.513,-0.27951
81.5,4.8699,76.299,11.131,4.9028,0.51546,4.722,74.87,640.44,592.62,5.243,-0.42468
73.21,-19.862,116.99,27.07,5.5688,0.51258,5.228,76.48,677.69,595.31,7.401,-0.36243
30.23,-11.268,75.945,17.787,3.1791,0.49363,4.5,78.61,662.07,586.37,5.292,-0.57008
2.472,0.85939,90.618,19.386,3.1972,0.44474,4.452,78.16,656.08,588.15,6.428,-0.52852
0,-34.376,98.039,26.489,2.5432,0.01517,4.156,80.9,665.14,581.94,7.171,-0.67409
0,-44.497,94.516,19.735,1.9677,NaN,3.881,79.38,640.16,578.42,7.199,-0.75737
0,-59.012,63.762,16.941,0.6119,0.04451,3.924,81.3,657.63,578.42,4.817,-0.75737
0,-63.213,88.498,31.278,1.5956,NaN,3.934,84.3,682.37,574.9,6.555,-0.84074
0,-64.55,111.72,31.927,2.2313,0.060072,3.759,82.3,658.03,574.03,8.56,-0.86159
0,-66.46,117.9,38.507,2.5374,0.16991,4.191,82.6,680.78,577.54,8.4,-0.77821
0,-68.274,158.37,48.168,3.9004,0.1312,4.098,82.1,672.26,578.42,11.56,-0.75737
0,-65.218,90.698,28.613,1.5259,NaN,3.901,83.2,671.91,578.42,6.893,-0.75737
34.03,-23.681,87.405,25.2,3.4685,0.54602,4.395,81.1,678.04,587.26,6.252,-0.5493
269.8,-6.8751,77.824,16.091,10.066,0.48423,4.676,77.82,663.53,598.01,5.531,-0.30023
302.9,-53.473,142.77,33.088,11.997,0.4808,4.806,78.39,674.49,599.82,9.98,-0.25879
450,-19.002,113.18,19.954,15.914,0.46934,4.754,76.68,657.39,601.63,8.06,-0.21736
506.4,-57.293,137.99,3.75,16.668,0.45135,4.886,70.15,606.97,598.01,9.43,-0.30023
404.4,-39.819,157.59,-7.3545,14.523,0.45587,5.427,65.64,589.73,606.17,10.08,-0.11388
647,-43.638,74.902,4.7045,19.266,0.44031,4.573,73.72,624.07,605.26,5.633,-0.13457
546.9,-50.991,47.222,-3.3058,15.228,0.45035,5.218,66.57,589.47,612.57,3.223,0.030796
326.3,-50.513,39.466,-3.4622,8.7955,0.47201,4.264,70.47,583.79,607.99,3.222,-0.072521
503.3,-56.052,70.055,1.4823,14.635,0.47132,5.578,69.08,627.18,619.94,4.613,0.19586
163.1,-47.649,84.899,-0.67445,5.6328,0.5127,5.515,67.05,606.09,608.9,5.405,-0.051848
