NET SW,NET LW,EH,EE,melt [cm ice eq. day],hourly albedo,TEMP,RH,Wind Speed
0.5,-69.272,82.125,20.756,0.96219,0.81818,9.88,61.07,4.8412
0,-58.818,69.437,25.173,1.0097,NaN,10.117,65.127,4.3708
0,-55.093,66.794,30.401,1.1877,NaN,10.34,68.553,4.258
0,-58.445,63.624,9.158,0.40444,NaN,9.6883,56.995,4.2287
0,-56.497,63.139,15.697,0.63019,NaN,10.395,59.37,4.1357
0,-55.857,61.686,32.763,1.0886,NaN,8.8525,75.735,4.2778
0,-54.147,56.537,25.306,0.78128,NaN,9.2,71.318,4.0377
0,-54.7,55.83,24.812,0.73181,NaN,9.28,70.963,4.0032
0,-56.078,65.562,14.252,0.66959,NaN,9.3025,61.335,4.3513
0,-57.733,69.44,-2.4576,0.26095,NaN,9.2175,50.99,4.508
4.5,-56.065,55.312,3.7184,0.2106,0.74648,8.8725,56.493,4.0328
72.25,-44.703,66.448,-4.1218,2.5353,0.5781,9.45,49.032,4.3607
174.75,-8.575,90.858,39.787,8.3732,0.54961,8.6875,72.348,5.488
283.5,38.525,90.246,39.728,12.751,0.52985,8.585,72.732,5.4977
354.25,62.25,87.692,36.185,15.244,0.5208,8.4275,72.063,5.444
445,99.575,83.074,45.682,18.994,0.52099,8.6725,76.98,5.1698
358.5,97.15,73.48,54.95,16.477,0.54663,8.0578,86.45,4.9443
310,78.775,84.88,69.737,15.329,0.55746,7.9112,89.675,5.5125
296.25,78.875,106.45,99.001,16.378,0.56799,7.8515,94.05,6.5657
209,62.7,94.22,86.67,12.767,0.57347,7.6537,94,6.076
87.5,46.975,55.353,55.499,6.9206,0.59862,7.6107,97.275,4.2483
75.5,41.675,130.27,132.85,10.728,0.59079,7.502,98.1,7.3742
40,36.605,143.77,148.32,10.401,0.59391,7.35,98.775,8.3065
9,30.008,92.914,93.299,6.3534,0.6087,6.7025,98.65,6.5815
0.5,23.02,119.03,120.41,7.4179,0.33333,6.4478,99.25,7.8395
0,21.637,67.898,66.373,4.3981,NaN,5.7052,99,5.7328
0,20.288,62.138,59.919,4.0155,NaN,5.297,99.05,5.6255
0,21.582,56.028,53.809,3.7073,NaN,5.077,99.175,5.3362
0,22.032,53.913,51.401,3.5924,NaN,4.858,99.2,5.336
0,23.935,42.363,39.968,2.9977,NaN,4.5308,99.25,4.6355
0,22.205,45.606,42.961,3.1248,NaN,4.465,99.275,4.954
0,22.895,45.742,43.034,3.1502,NaN,4.4805,99.225,4.954
0,20.075,41.351,38.36,2.8149,NaN,4.0888,99.25,4.8707
0,19.08,61.483,57.847,3.9045,NaN,4.433,99.275,5.8898
1.25,17.185,68.329,64.364,4.2633,0.61538,4.439,99.3,6.5367
42.75,37.03,66.794,61.968,5.8829,0.65524,4.392,98.95,6.4583
124,117.9,69.682,62.935,10.565,0.66373,4.2952,98.375,6.8892
189,126.57,60.414,51.095,12.048,0.62832,4.3127,96.775,5.9487
218.5,98.425,59.995,48.73,12.007,0.60842,4.444,95.65,5.733
297.25,98.75,67.296,52.773,14.558,0.59392,4.7728,94.3,5.9878
287.25,73.825,71.782,53.53,13.721,0.58035,4.8337,93.05,6.3063
396.5,86.7,57.422,41.178,16.412,0.56054,5.0667,91.725,5.4487
343,85.7,53.363,37.355,14.653,0.56375,5.2555,90.8,5.0222
202.25,40.675,51.025,35.696,9.2992,0.57128,5.1315,91.05,4.9292
191.25,28.325,55.533,39.071,8.8629,0.57571,5.554,90.275,4.9977
124,2.2225,59.82,41.475,6.4182,0.59477,5.8128,89.375,5.1355
58.75,-24.828,56.333,39.911,3.6719,0.57961,5.6055,90.325,5.0225
27.25,-37.755,61.974,12.067,1.7923,0.59023,7.1903,67.54,4.6747
0.5,-56.367,69.551,-3.636,0.28344,0.66667,8.1058,54.495,4.758
0,-66.042,137.9,-12.859,1.6643,NaN,8.6825,50.582,7.5263
0,-83.275,150.61,-43.929,0.66015,NaN,9.0625,40.86,7.8402
0,-78.625,248.69,-92.961,2.1752,NaN,10.072,33.355,10.485
0,-76.942,174.51,-66.755,0.86919,NaN,10.533,31.245,7.9282
0,-77.5,189.88,-78.944,0.94328,NaN,10.872,28.542,8.297
0,-78.118,197.7,-26.468,2.6267,NaN,9.6625,45.21,8.6887
0,-71.405,224.35,50.213,5.7311,NaN,9.48,61.053,10.05
0,-68.77,239.79,33.051,5.7569,NaN,10.258,54.945,9.9275
0,-69.817,249.81,14.891,5.4977,NaN,10.24,51.593,10.36
5,-69.775,210.43,36.117,5.1276,0.63636,9.83,57.735,9.0905
77.25,-66.578,302.78,124.38,12.351,0.5554,9.6475,68.517,13.327
99,-14.725,262.8,191.92,15.205,0.55902,9.0475,83.525,12.335
137.25,-2.425,217.06,152.92,14.24,0.55474,8.8525,82.9,10.412
202,11.825,197.18,141.23,15.579,0.54065,9.1225,82.767,9.179
250.75,28.3,185.24,131.61,16.81,0.5443,9.2525,82.225,8.502
289.5,33.175,202.79,139.41,18.756,0.53975,9.2725,81.21,9.2875
268.5,32.525,222.97,150.1,19.016,0.55231,9.3125,80.515,10.168
263.75,31.275,202.11,133.29,17.784,0.56151,9.1575,80.31,9.3725
285.5,33.2,179.39,107.63,17.087,0.56857,9.05,78.085,8.4177
271.75,19.675,145.26,66.836,14.204,0.59074,9.335,71.472,7.4527
194.75,3.725,200.79,122.4,14.716,0.61795,9,78.61,9.4743
73,-44.428,202.47,117.38,9.8291,0.70683,9.245,76.748,9.3005
11.75,-59.367,213.45,115.01,7.9227,0.83392,9.015,75.627,10.055
0.75,-73.948,202.9,66.563,5.5365,0.5,9.21,66.273,9.3552
0,-77.368,206.66,50.304,5.0664,NaN,9.1825,62.805,9.5575
0,-76.817,175.74,39.972,3.9182,NaN,8.5877,64.04,8.6902
0,-80.078,211.94,3.3399,3.8141,NaN,9.2525,53.015,9.7275
0,-82.45,185.63,-18.785,2.3806,NaN,8.9825,49.108,8.7758
0,-78.438,206.52,8.3994,3.85,NaN,8.735,55.885,10.04
0,-71.045,191.09,61.983,5.1349,NaN,7.5927,71.112,10.688
0,-77.835,192.97,50.679,4.6775,NaN,7.5113,69.002,10.91
0,-80.778,230.88,-52.429,2.7554,NaN,8.725,44.92,11.238
0,-80.713,228.49,-72.816,2.1147,NaN,8.815,40.773,11.008
8.25,-80.59,211.68,-87.006,1.4764,0.51471,9.11,35.678,9.8675
97,-86.756,171.25,-113.73,1.9116,0.51439,8.67,27.238,8.3877
208,-61.1,146.73,-115.84,5.0156,0.5174,10.213,14.735,7.0668
316.25,-8.375,93.235,-68.256,9.3897,0.51045,11.323,12.787,4.949
401.5,30.275,160.66,-105.53,13.736,0.50932,10.6,18.925,7.3945
460,53.85,202.61,-95.95,17.504,0.51129,9.87,29.848,8.7175
487.75,60.425,210.06,-87.966,18.908,0.51636,9.8575,32.255,9.0493
476.25,53.45,225.2,-90.782,18.735,0.53021,10.588,30.137,9.0328
429.5,58.1,194.71,-58.441,17.599,0.55038,10.968,33.34,8.415
359.75,41.7,186.98,-74.673,14.493,0.57262,10.845,29.367,8.209
266.25,19.35,146.09,-52.054,10.709,0.60438,11.023,30.652,6.714
160.25,-26.938,137.14,-43.14,6.4124,0.65556,10.537,34.213,6.5868
59.75,-59.803,119.79,-62.175,1.6238,0.75562,11.485,21.765,5.728
0,-71.947,105.11,-52.725,-0.55195,NaN,12.245,20.025,5.15
0.5,-81.54,129.72,-60.316,-0.32834,0.6,11.325,24.747,6.0808
0,-82.725,135.83,-73.343,-0.57096,NaN,11.488,20.815,6.2278
0,-84.725,159.42,-90.015,-0.43222,NaN,10.027,25.273,7.6342
0,-83.375,181.34,-99.856,-0.05335,NaN,10.387,24.428,8.2607
0,-79.633,136.02,-82.713,-0.74252,NaN,9.44,25.938,7.0215
0,-78.355,123.41,-50.491,-0.15346,NaN,8.89,36.71,6.7768
0,-80.095,109,-17.721,0.3156,NaN,8.4375,48.73,6.375
0,-78.095,130.76,-62.072,-0.26536,NaN,9.2175,32.545,6.919
0,-76.843,134.6,-80.051,-0.62895,NaN,9.7875,24.985,6.8012
0,-75.882,118.6,-61.463,-0.52884,NaN,9.3275,30.233,6.3753
7,-73.715,101.34,-43.083,-0.23867,0.54098,9.345,34.085,5.6888
94.75,-83.013,85.322,-10.246,2.4489,0.51472,9.15,47.688,5.1255
205.5,-58.75,58.488,-2.5934,5.7165,0.51704,9.2575,50.47,4.1013
312.5,-17.675,33.598,-6.9764,9.0679,0.51362,10.21,40.06,3.219
398,47.8,0,-0,12.576,0.51225,10.903,35.468,1.5777
460.5,106.58,9.7397,-4.117,16.156,0.51128,11.9,24.722,2.5483
489,111.2,0.31853,-0.029731,16.94,0.51392,12.02,39.297,2.112
477.75,69.55,50.155,5.9322,17.021,0.52721,10.49,53.375,3.724
430.75,97.075,14.801,-1.7133,15.259,0.54789,10.725,42.325,2.646
358.5,62.1,53.728,9.6193,13.652,0.57066,9.935,57.727,3.871
264.5,19.55,67.698,-5.108,9.7786,0.603,9.75,47.398,4.3613
156,-20.67,55.623,6.3429,5.5657,0.65714,9.7475,55.525,3.9495
57,-59.337,64.981,18.237,2.2816,0.75796,8.795,65.562,4.415
2.5,-68.72,74.07,53.3,1.725,0.95516,8.0152,85.425,4.9835
0.25,-79.445,78.496,-21.669,-0.631,0.75,8.7215,42.922,4.9688
0,-80.01,89.076,-18.506,-0.26631,NaN,8.8675,45.138,5.3557
0,-78.095,98.594,-50.676,-0.85127,NaN,10.338,26.228,5.3117
0,-77.275,130.66,-56.804,-0.096502,NaN,9.8825,31.467,6.6102
0,-75.927,188.53,-84.828,0.78344,NaN,9.3775,32.9,8.5375
0,-72.737,179.41,-82.383,0.68534,NaN,9.3225,32.745,8.1727
0,-76.113,178.41,-79.386,0.6463,NaN,9.2375,33.707,8.2018
0,-77.015,176.83,-30.657,1.9508,NaN,8.5525,47.823,8.78
0,-76.065,168.74,64.008,4.42,NaN,8.211,71.36,8.727
0,-77.553,177.54,59.101,4.4878,NaN,8.2218,69.468,9.17
7.5,-79.255,192.36,-4.2735,3.2817,0.5082,9.34,51.108,8.746
96.75,-84.214,207.17,-48.707,4.8238,0.49478,9.7025,40.735,9.0675
209,-61.625,178.29,12.891,9.5505,0.50533,8.8575,56.755,8.5478
317.75,-24.575,171.9,6.6559,13.307,0.50176,8.98,54.933,8.1292
404.25,21.225,133.37,-27.192,14.998,0.50277,10.665,38.637,6.4093
462.75,43.05,139.74,42.662,19.414,0.50561,9.4825,64.502,7.149
481.25,47.55,148.84,63.371,20.904,0.51253,8.9375,71.14,7.8445
473,46.325,168.6,72.665,21.456,0.52841,8.925,71.392,8.022
438.25,55,206.13,102.05,22.608,0.55097,9.3125,73.007,9.3997
322,37,179.68,103.23,18.108,0.57124,8.95,77.28,8.5255
201.25,15.175,123.05,74.857,11.688,0.5922,8.3875,80.088,7.0362
88.5,8.7425,75.084,57.29,6.4774,0.58741,8.0823,87,5.0077
35.5,5.095,89.599,70.184,5.6526,0.59312,7.621,88.775,5.8655
9.25,-47.64,114.13,70.586,4.1278,0.61856,7.4492,82.825,7.2105
0,-63.377,91.937,33.274,1.7443,1,7.5775,72.61,6.0023
0,-51.02,114.87,67.741,3.7121,NaN,8.1925,79.83,6.7717
0,8.4017,71.877,23.594,2.9302,NaN,8.0842,69.71,4.8658
0,7.7595,56.238,28.766,2.6168,NaN,7.9663,77.317,4.214
0,-8.173,104.34,62.315,4.4708,NaN,7.986,80.653,6.3908
0,-38.845,105.76,71.457,3.9034,NaN,8.4225,82.725,6.2378
0,-25.863,104.73,64.396,4.0415,NaN,8.023,81.257,6.3897
0,-35.805,93.164,55.397,3.1808,NaN,7.293,82.31,6.2183
0,-64.968,141.83,86.128,4.598,NaN,7.4585,82.373,8.0755
0,-62.582,153.11,67.901,4.4691,NaN,7.6717,75.483,8.475
1.5,-51.218,183.18,60.409,5.469,0.45455,7.9502,70.19,9.7845
73,-51.578,179.68,27.86,6.4589,0.5,8.0255,63.03,9.5075
162.75,-43.938,139.57,49.92,8.6971,0.49339,7.2692,73.415,8.1535
256.75,-10.6,126.91,66.433,12.398,0.48982,6.3975,82.077,8.424
279,33.15,129.35,75.851,14.594,0.50685,6.3293,84.475,8.6788
314.75,52.15,148.44,68.307,16.464,0.5167,6.4143,79.793,9.8275
432.75,76.75,137.54,51.897,19.717,0.52023,6.4158,76.858,9.104
368,53.2,143.58,27.185,16.699,0.53885,6.3398,70.497,9.6175
114.5,-124.26,115.79,-8.7405,2.7443,0.57116,5.7598,63.947,8.5367
256.5,41.425,147.46,-5.1202,12.42,0.57551,6.514,61.845,9.6135
72,13.752,86.375,55.046,6.4085,0.58916,6.305,86.32,6.4825
22.25,7.6075,80.809,73.635,5.1991,0.62128,6.4262,95.725,6.0613
22.5,5.0875,63.217,53.228,4.0631,0.61538,6.2425,93.6,5.1208
3,9.995,114.02,96.418,6.3029,0.6,6.1865,93.825,7.8265
0,23.25,111.01,105.22,6.7557,1,5.6427,98.1,8.3545
0,18.122,115.04,99.979,6.5768,NaN,4.8107,96.75,10.155
0,7.5628,80.472,63.298,4.269,NaN,3.7462,96.05,9.122
0,16.928,69.541,65.344,4.2826,NaN,4.712,98.95,6.2672
0,10.143,70.168,55.922,3.8431,NaN,4.1285,95.725,7.2175
0,0.13,57.843,32.427,2.5502,NaN,4.0785,89.55,6.0228
0,-33.035,67.6,-2.6624,0.89997,NaN,4.1295,73.403,6.9518
0,-32.553,86.259,-22.834,0.87089,NaN,4.9413,62.358,7.4132
0,-31.61,62.486,5.0507,1.0135,NaN,3.7952,78.252,6.9918
0,-18.938,52.448,8.0246,1.1717,NaN,3.1982,82.877,6.964
0.25,-13.769,43.173,14.049,1.2328,0.75,2.7095,88.6,6.7665
6.5,-24.861,38.926,18.325,1.0971,0.58065,2.084,93.375,7.932
16.25,-47.328,23.065,8.2487,0.0066544,0.58333,1.4038,94.275,6.9775
33.25,-34.412,14.198,3.802,0.475,0.61671,1.034,95,5.831
170.25,-91.296,20.37,0.92213,2.8279,0.57277,2.0673,86.85,4.1845
362.5,-173.3,27.928,6.0205,6.295,0.54445,2.9613,85.325,4.464
99,-67.778,17.405,-0.9845,1.344,0.60831,1.2508,90.775,5.9095
63,-38.953,3.9369,-0.34055,0.77982,0.84718,0.306,97.55,5.4635
162.25,-41.934,20.297,0.82467,3.9899,0.79118,1.6705,89.15,5.1597
196.25,-88.503,32.633,4.4013,4.0842,0.7234,2.0172,88.5,6.8697
96.5,-82.653,18.313,8.0547,1.1344,0.69749,1.8433,93.7,4.219
116,-88.202,12.878,3.4223,1.244,0.69353,1.868,91.15,3.3173
57.5,-33.895,7.5073,4.3429,1.0002,0.70886,2.1153,94.975,2.151
10.25,-39.547,1.903,1.1686,-0.73982,0.71528,1.907,96,1.2693
0,-9.1798,2.5984,2.1004,-0.12641,1,1.5717,99.1,1.3918
0,-10.019,2.9749,2.4889,-0.1285,NaN,1.524,99.475,1.4748
0,-88.7,0.066638,0.054021,-2.4988,NaN,1.3862,99.275,0.76925
0,-53.083,2.8243,2.2875,-1.3532,NaN,1.504,99.175,1.4452
0,-0.1205,10.202,8.7444,0.53109,NaN,1.5085,99.725,3.2
0,5.364,11.982,10.197,0.77698,NaN,1.3645,99.725,3.729
0,-6.386,13.342,11.526,0.52136,NaN,1.1775,99.925,4.8117
0,0.02775,10.712,9.1543,0.56119,NaN,0.8935,99.925,5.091
0,0.76475,6.9351,5.9534,0.38515,NaN,0.5735,100,5.1352
0,2.0452,3.845,3.301,0.25928,NaN,0.5785,100,2.8225
0.25,2.797,4.2446,3.6429,0.30846,0.83333,0.56075,100,3.2145
22,9.1025,3.5528,3.0435,1.0635,0.74713,0.32825,100,4.5962
48,-3.735,5.1939,4.2848,1.5161,0.72805,0.37575,99.9,5.87
89.75,34.4,5.7246,3.784,3.7705,0.71234,0.31625,99.475,7.687
205.5,105.8,9.4604,4.5704,9.1775,0.65389,0.73075,97.725,5.4977
252,133.95,15.735,7.9415,11.555,0.63974,1.2732,96.275,5.248
317,161.1,23.814,12.194,14.503,0.60151,1.9252,94.475,5.2528
387,191.28,19.197,9.6767,17.127,0.579,2.7465,91.95,3.5035
353.25,161.6,15.756,7.8967,15.191,0.57414,3.4233,89.9,2.7635
308.75,139.95,3.6212,1.3612,12.798,0.59402,4.1418,84.442,1.666
210.5,89.65,7.5877,4.2848,8.8021,0.60038,4.0723,89.675,1.9795
135,66.25,6.7804,3.6292,5.9708,0.60206,3.9265,89.3,1.9112
66,20.235,24.198,18.569,3.6391,0.62069,3.2062,96.425,3.7828
15,-32.726,20.936,17.726,0.5906,0.67033,2.5097,98.875,3.9788
0.25,-83.468,18.868,13.831,-1.4251,0.66667,2.7652,96.4,3.4447
0,-97.85,11.963,5.1574,-2.2774,NaN,4.1523,85.885,2.3177
0,-85.485,22.095,5.0898,-1.6446,NaN,5.5993,74.722,2.8813
0,-83.21,26.266,2.8826,-1.5251,NaN,6.8063,65.838,3.0137
0,-81,48.178,4.7889,-0.79081,NaN,7.7073,61.998,3.9103
0,-83.25,63.452,3.111,-0.47072,NaN,8.63,56.605,4.3855
0,-78.188,48.726,0.39255,-0.82002,NaN,8.133,56.792,3.871
0,-71.735,16.89,-0.47852,-1.5607,NaN,8.1978,55.09,2.6067
0,-69.24,11.914,-1.5126,-1.6598,NaN,8.4575,50.093,2.4205
0,-67.852,15.839,-2.4871,-1.5374,NaN,9.2,45.95,2.6067
4.75,-66.828,21.506,-3.963,-1.2563,0.51282,10.168,41.228,2.8373
88.75,-58.197,2.3665,-0.85478,0.90452,0.50419,11.515,28.762,2.2245
201.75,-13.4,19.528,-8.1439,5.6344,0.51268,11.232,27.215,2.8175
307.75,43.225,1.3169,-0.69998,9.9183,0.51054,12.28,18.55,2.2195
393.75,89.7,0.043514,-0.025151,13.638,0.50919,12.84,14.677,2.1265
455,121.8,0,-0,16.271,0.50758,13.663,13.062,1.7003
484,135.12,0,-0,17.465,0.51062,16.043,11.97,1.6907
469.5,123.5,0,0,16.728,0.52408,15.245,40.73,2.2735
418.25,106.38,35.047,16.782,16.262,0.5455,12.147,64.972,3.2782
287.25,64,5.6159,1.0003,10.095,0.5651,11.988,51.718,2.406
254.5,62.4,10.515,0.10667,9.2393,0.59264,12.77,41.91,2.6265
149.5,3.2,27.587,9.4096,5.3513,0.6451,11.203,61.198,3.0528
48.75,-32.722,25.343,5.5485,1.3236,0.75896,11.402,55.178,2.994
0,-47.453,38.512,14.676,0.16178,1,9.5775,67.447,3.386
0,-51.373,35.049,7.8134,-0.24008,1,9.72,60.275,3.2685
0,-51.188,34.359,2.1255,-0.41476,NaN,8.5525,57.407,3.273
0,-53.517,26.222,6.923,-0.5747,NaN,8.7875,64.9,2.9695
0,-46.138,40.692,17.158,0.33042,NaN,8.2125,73.05,3.5377
0,-18.692,44.03,20.074,1.2811,NaN,8.0828,74.79,3.6848
0,-43.817,54.683,22.811,0.95,NaN,7.6753,74.45,4.2043
0,-40.77,50.305,22.01,0.88989,NaN,7.6543,75.303,4.013
0,-20.627,36.575,14.934,0.87118,NaN,7.5475,74.49,3.425
0,-38.222,52.203,23.446,1.0558,NaN,6.8357,78.148,4.2875
0,-49.663,68.05,37.025,1.5632,NaN,6.4365,82.7,5.3068
1.25,-49.353,61.889,31.074,1.2655,0.61538,6.6825,80.517,4.8508
64.5,-54.617,63.664,34.608,3.051,0.50193,6.7637,81.8,4.9145
169.25,-35.175,67.233,43.229,6.8983,0.51119,6.636,85.725,5.1643
242.25,-0.65,64.283,37.922,9.6986,0.50837,6.859,83.242,4.91
349.25,34.625,62.624,38.521,13.682,0.50636,7.0665,83.65,4.7483
390.5,90.25,66.98,37.77,16.517,0.53401,6.9342,82.09,5.0225
458.25,93.7,71.884,32.489,18.515,0.51598,6.6655,78.755,5.4093
469.5,118.62,67.85,23.189,19.159,0.52838,6.6995,74.662,5.1695
390.75,95,85.24,36.385,17.134,0.54931,6.3178,78.91,6.4035
233.75,41.125,85.102,46.251,11.46,0.57011,5.5622,85.05,6.4973
100.5,28.35,87.108,64.938,7.924,0.59105,4.9995,92.725,7.399
53,22.758,92.115,80.198,6.998,0.59465,4.7355,96.9,8.2605
34.5,16.865,77.589,63.909,5.4406,0.58806,4.325,96.15,7.6182
8.75,2.264,81.786,55.294,4.1777,0.57317,3.9027,92.975,8.8993
0.25,-7.3373,56.944,38.007,2.4786,0.66667,2.77,95.1,8.73
0,-6.5713,46.988,24.323,1.8263,NaN,2.27,93.575,8.7903
0,-21.225,25.807,17.075,0.61094,NaN,1.6065,97.25,6.8217
0,-66.963,23.976,-34.465,-2.1849,NaN,1.2073,77.82,8.4337
0,-57.317,18.047,-31.89,-2.0074,NaN,0.9935,78.862,7.714
0,-2.2565,6.9082,3.5852,0.23236,NaN,0.39525,98.875,7.4222
0,3.5585,17.644,14.62,1.0105,NaN,1.0235,99.675,7.3205
0,4.2405,25.095,21.189,1.4253,NaN,1.3705,99.65,7.7758
0,3.7707,28.753,24.39,1.6055,NaN,1.2448,99.75,9.8095
0,-8.2062,14.831,12.393,0.53646,NaN,0.6325,99.875,9.9572
0.25,-8.821,13.878,11.909,0.48567,0.5,0.55325,100,10.652
3.75,-9.404,2.668,2.0118,-0.027484,0.74138,0.12575,99.875,9.0098
17.5,9.6775,-17.951,-14.923,-0.1607,0.77636,-0.9765,99.775,7.8065
86.5,40.377,-21.284,-18.823,2.4478,0.75787,-0.96875,99.3,9.33
133.5,-23.883,-25.96,-22.846,1.7155,0.76129,-1.3415,98.95,8.2177
155.25,-51.675,-34.908,-30.93,1.0646,0.78018,-1.7445,98.325,8.4975
134.5,-55.135,-18.007,-16.679,1.2604,0.80751,-1.1725,98.625,6.522
126.75,-33.95,-10.015,-10.441,2.0408,0.82755,-0.592,98.775,7.184
139,-58.953,-21.246,-21.456,1.0535,0.80143,-1.0212,98.05,8.8345
84.5,-44.785,-26.767,-25.828,-0.36334,0.80462,-1.1182,98.3,10.165
52.75,-21.7,-18.224,-17.304,-0.12634,0.83631,-0.8335,98.925,9.285
36.25,-30.223,-23.025,-20.538,-1.0589,0.77863,-0.99825,99.2,9.795
18.75,-15.821,-21.695,-18.707,-1.0571,0.71591,-0.89925,99.55,10.245
5.5,-4.078,-26.542,-22.272,-1.3369,0.68116,-1.0747,99.65,10.488
0,0.9775,-34.027,-28.62,-1.7397,1,-1.308,99.475,11.048
0,-1.8663,-37.302,-30.829,-1.9746,NaN,-1.5155,99.525,10.453
0,-2.7025,-39.77,-33.043,-2.1303,NaN,-1.6255,99.375,10.39
0,1.1427,-36.139,-30.064,-1.8353,NaN,-1.6658,99.325,9.2133
0,-3.38,-37.593,-31.018,-2.0308,NaN,-1.86,99.275,8.583
0,-2.4108,-30.338,-25.33,-1.6384,NaN,-1.608,99.325,8.012
0,-3.6445,-34.583,-28.932,-1.8945,NaN,-1.8222,99.1,8.0593
0,-3.2622,-36.813,-30.522,-1.9915,NaN,-2.014,99.05,7.7622
0,-2.7475,-45.79,-37.276,-2.4208,NaN,-2.2358,99.15,8.6975
0,-1.3155,-37.004,-30.489,-1.9411,NaN,-1.8272,99.325,8.6
0.5,1.5965,-14.948,-12.595,-0.71782,0.33333,-1.3807,99.4,4.5972
43.5,-34.645,-13.751,-11.734,-0.46913,0.57561,-1.049,99.525,5.5667
157.25,-133.17,-10.565,-11.848,0.046927,0.59076,-0.42975,98.825,10.44
127.75,-59.83,-0.24389,-8.8234,1.6602,0.74728,-0.00975,96.975,10.623
113,-40.74,7.8203,-8.9731,2.0059,0.74986,0.31925,94.575,10.402
136.5,-44.975,13.972,-7.8666,2.7541,0.73275,0.612,92.775,9.695
202.75,-59.975,25.299,0.48158,4.7549,0.71947,1.1267,92.325,9.535
197,-50.575,33.226,12.966,5.4337,0.71356,1.4195,94.575,9.94
158.75,-40.325,41.419,20.422,5.0852,0.71677,1.617,95.125,10.878
100.5,-29.12,34.895,22.65,3.6369,0.72874,1.3157,97.65,11.262
71.25,-28.395,40.931,29.317,3.1906,0.72086,1.4543,98.15,11.952
42.25,-14.342,47.846,37.675,3.1998,0.7121,1.516,98.9,13.402
18.5,-3.7675,34.872,28.342,2.1988,0.71429,1.4167,99.275,10.453
5.25,2.1238,34.453,28.707,1.9897,0.72,1.2928,99.575,11.318
0.25,3.3712,32.022,26.883,1.7638,0.5,1.17,99.7,11.623
0,-0.593,11.728,9.0948,0.57068,NaN,0.439,99.7,11.345
0,2.1197,18.421,15.569,1.0187,NaN,0.7415,99.9,10.55
0,1.0568,11.139,9.3575,0.608,NaN,0.51375,99.925,9.207
0,0.4095,10.591,9.0335,0.56516,NaN,0.562,99.975,8.003
0,1.0715,13.537,11.582,0.73882,NaN,0.66625,99.975,8.6285
0,1.1605,8.2748,7.0894,0.46616,NaN,0.43625,100,8.055
0,2.174,12.801,11.025,0.73348,NaN,0.726,100,7.488
0,2.2628,12.074,10.429,0.69862,NaN,0.8425,100,6.0857
0,-6.0335,11.233,9.7056,0.42048,NaN,0.8525,100,5.5957
0.25,-2.9752,6.7273,5.7624,0.27545,0.66667,0.408,100,7.002
9.25,-18.596,0.46034,0.44369,-0.23816,0.63366,0.02975,100,6.571
36.25,-30.248,1.7576,0.94534,0.24558,0.62042,0.11275,99.675,6.62
124.5,-12.02,9.7336,2.1275,3.5076,0.66532,0.56775,96.975,7.2805
254,-46.7,19.569,5.2329,6.5475,0.63779,1.5417,92.65,5.39
273.75,-46.7,18.865,4.454,7.0628,0.63826,2.0565,89.85,3.8955
334,-51.475,28.866,9.1845,9.0433,0.62228,3.0642,87.05,4.4737
325.5,-38.7,23.908,8.6766,9.0097,0.62228,3.5015,86.4,3.5625
329.5,-17.25,23.925,8.0884,9.7115,0.61686,4.0482,83.775,3.3172
280,-6.925,49.71,21.318,9.707,0.63387,3.4137,88.25,6.1837
100.75,-42.111,23.488,14.085,2.7141,0.66191,2.1725,95.175,4.5913
75,-67.063,28.788,20.447,1.6128,0.66102,1.8988,97.4,6.4385
38.75,-19.462,25.726,20.84,1.8577,0.63095,1.8275,98.9,5.978
7.75,-6.7867,23.192,19.246,1.2243,0.62195,1.6947,99.275,5.8113
0.25,7.7787,31.543,27.318,1.8869,0,1.8788,99.65,7.1297
0,7.6185,26.003,22.699,1.5888,NaN,1.8247,99.775,6.0515
0,8.1522,17.61,15.32,1.1589,NaN,1.6882,99.8,4.4295
0,3.7707,19.672,17.259,1.1482,NaN,1.678,99.9,4.9785
0,-63.235,18.62,14.338,-0.85409,NaN,1.6915,98.5,4.6747
0,-88.425,20.259,10.414,-1.6292,NaN,1.8045,94.85,4.7677
0,-85.575,21.583,6.2272,-1.6295,NaN,1.8502,91.55,4.9537
0,-71.825,17.671,4.3583,-1.4047,NaN,1.6593,91.85,4.5228
0,-76.433,14.699,3.7573,-1.6355,NaN,1.5275,92.575,4.0865
0,-58.052,10.052,3.3651,-1.2592,NaN,1.1197,95.2,3.812
0,-70.488,8.3645,3.0421,-1.6667,NaN,1.0968,95.55,3.2388
39.75,-77.125,12.018,-0.24572,-0.72224,0.7609,2.3385,84.15,2.754
161.5,-99.987,12.998,-0.52037,2.0872,0.57997,2.966,79.985,2.6067
273.5,-76.775,13.631,1.249,5.9693,0.54188,2.306,86.25,3.0282
351,-25.425,6.5973,1.3674,9.409,0.54855,3.2437,83.87,1.8867
401,30.325,0,-0,12.168,0.55108,5.0355,63.082,1.1368
462.5,45.45,1.3385,0.21532,14.373,0.54411,6.2037,70.03,1.6855
405.75,70.125,5.3753,0.746,13.597,0.5739,6.8122,66.875,2.0088
213,30.575,1.7954,0.61772,6.9392,0.58801,5.596,78.448,1.6612
154.25,-60.413,12.027,4.4928,3.1131,0.59647,4.6873,82.485,2.3028
260.75,-54.7,15.897,5.3762,6.4127,0.61725,4.978,80.418,2.548
