NET SW,NET LW,EH,EE,melt [cm ice eq. day],daily albedo,TEMP,RH,Pressure Air,Pressure surface,Wind Speed,Ts
126.84,-4.48,84.118,23.161,6.4781,0.50435,4.5925,80.98,685.65,592.42,5.9392,-0.43001
181.64,-51.782,90.546,15.027,6.6413,0.47561,4.5932,75.562,639.33,591.46,6.3888,-0.45462
82.602,-18.453,81.116,9.8999,4.3771,0.51599,6.2173,69.341,660.09,606.7,4.5239,-0.11949
150.8,-28.475,86.896,-6.8147,5.7098,0.48685,4.7076,67.549,574.19,594.62,6.0582,-0.38311
127.62,-18.549,74.754,-15.237,4.7559,0.48501,3.363,69.388,538.59,582.54,6.6322,-0.66337
39.654,-3.2904,60.245,29.572,3.5595,0.65644,1.2926,94.195,629.88,572.98,10.475,-0.88788
101.06,0.44163,61.765,15.861,5.053,0.51484,2.9866,83.546,624.23,585.02,6.8635,-0.60641
88.354,2.5026,49.295,15.284,4.3848,0.51447,4.566,82.244,695.55,595.55,3.5598,-0.35941
132.76,-4.8619,67.088,10.523,5.7974,0.49563,4.1524,77.15,633.5,592.99,5.3181,-0.41915
0.9,-11.001,29.773,10.585,0.85355,NaN,0.40229,94.217,592.41,559.82,7.1801,-1.2058
0,-11.26,38.709,4.6409,0.90525,NaN,0.93046,88.017,573.75,560.78,6.3836,-1.1843
0.1375,-5.8049,39.26,7.8685,1.1696,NaN,1.4188,86.955,585.49,573.08,6.7074,-0.89466
40.735,-20.502,54.032,0.036456,2.096,0.80317,2.1791,79.367,565.06,570.89,6.3549,-0.93735
150.9,-18.433,63.509,-5.5624,5.3715,0.52119,3.5088,71.597,562.45,585.26,5.4547,-0.60335
137.86,6.334,156.52,118.06,11.813,0.4337,6.8773,91.032,907.12,635.84,8.7189,0.53526
188.48,-76.601,54.984,-1.1026,4.676,0.51356,3.0076,72.419,547.96,568.84,4.3616,-1.0165
133.66,-21.907,56.457,8.6707,4.9898,0.49881,5.329,73.38,653.09,602.76,3.6847,-0.19564
192.85,-54.022,40.003,0.1302,5.0484,0.49708,3.494,75.44,587.82,576.96,3.21,-0.8047
188.85,-48.954,87.616,-8.1588,6.1878,0.48099,6.2661,57.357,544.41,591.05,4.5874,-0.51642
180.13,-45.954,88.839,22.264,6.9193,0.46803,5.4937,75.998,681.61,602.92,5.8488,-0.19537
204.3,-45.544,80.738,-11.86,6.4216,0.46631,7.6165,54.68,564.65,626.51,3.9876,0.32738
84.48,-24.214,106.85,-8.7049,4.4687,0.51026,8.5655,58.067,638.56,634.27,4.6284,0.50825
179.16,-33.401,68.44,2.8098,6.1217,0.45953,6.6072,66.025,641.28,613.69,3.7538,0.046347
156.96,-17.22,54.004,9.534,5.7344,0.45829,5.8522,71.309,660.97,607.22,3.2139,-0.094925
84.185,-24.632,34.629,-2.715,2.5803,0.52032,3.7842,69.961,559.66,576.72,2.7649,-0.80879
168.06,-7.0025,53.771,4.9742,6.2005,0.47511,4.752,72.733,622.76,595.99,3.7955,-0.349
144.24,-6.8115,50.532,7.8421,5.5237,0.46617,3.9742,78.4,634.17,589.29,3.9083,-0.50891
139.89,-25.316,88.424,8.2887,5.9605,0.47723,4.5165,73.711,620.73,591.86,6.3745,-0.44398
