SW IN,SW OUT,NETSW,Si0,Li0,Lo0,NetLW,H0,E0,B0,energy0,energy_rest0,sublim0,depo0,evapo0,condens0,alphaMod0,SubM0,melt[cm ice eq.day]
880.75,481.75,399,39.9,275.52,-315.64,-40.116,102.69,73.574,-1.8506,493.4,0,0,-9.346e-05,0,0,0.54698,0.00042871,15.096
708.75,386.98,321.77,32.177,270.2,-315.64,-45.44,89.007,64.683,-1.8022,396.04,0,0,-8.2166e-05,0,0,0.54601,0.00034551,12.131
500.25,272.67,227.58,22.758,269.42,-315.64,-46.215,94.684,73.225,-1.7556,324.76,0,0,-9.3017e-05,0,0,0.54506,0.00024403,9.853
275,149.64,125.36,12.536,259.57,-315.64,-56.068,111.83,2.4213,-1.7105,169.3,0,0,-3.0757e-06,0,0,0.54413,0.00013389,5.1778
88.25,47.939,40.311,4.0311,250.71,-315.64,-64.929,108.24,-49.175,-1.6671,28.75,0,6.2467e-05,0,0,0,0.54322,4.2252e-05,0.97176
2.75,1.4914,1.2586,0.12586,243.33,-310.27,-66.937,117.86,-55.545,3.4856,0,-0.00056236,7.0558e-05,0,0,0,0.54233,0,-0.094839
0,0,0,0,241.19,-308.04,-66.845,114.9,-53.688,5.6281,0,-0.00067447,6.82e-05,0,0,0,0.54146,0,-0.15882
0,0,0,0,236.31,-304.26,-67.951,117.22,-58.551,9.2798,0.0012347,0.0010169,7.4376e-05,0,0,0,0.5406,0,-0.26175
0,0,0,0,238.35,-297.25,-58.907,64.086,-21.358,16.18,0.00037655,0.00012278,2.7131e-05,0,0,0,0.53976,0,-0.45643
0,0,0,0,238.18,-301.62,-63.437,87.692,-35.895,11.64,0,-0.00013464,4.5597e-05,0,0,0,0.53894,0,-0.32836
0,0,0,0,235.73,-294.54,-58.811,60.285,-20.168,18.694,0,-3.6071e-06,2.562e-05,0,0,0,0.53814,0,-0.52736
0,0,0,0,242.33,-296.01,-53.681,50.283,-13.605,17.003,0,-7.309e-05,1.7282e-05,0,0,0,0.53735,0,-0.47964
0,0,0,0,239.72,-296.91,-57.19,59.875,-18.607,15.922,0,-0.00013791,2.3636e-05,0,0,0,0.53658,0,-0.44917
0,0,0,0,237.65,-293.12,-55.473,49.495,-13.708,19.685,0,-0.00013159,1.7414e-05,0,0,0,0.53583,0,-0.55533
0.25,0.13377,0.11623,0.011623,232.91,-292.58,-59.664,57.926,-18.428,20.061,3.047e-05,0,2.3409e-05,0,0,0,0.53509,0,-0.56559
75.5,40.345,35.155,3.5155,237.66,-290.91,-53.252,0,-0,21.612,0,-1.6442e-05,0,0,0,0,0.53437,0,-0.5105
278.5,148.62,129.88,12.988,254.81,-315.64,-60.831,0,-0,-3.8894,52.168,0,0,0,0,0,0.53366,0.00013756,1.9477
513.5,273.68,239.82,23.982,253.92,-315.64,-61.717,0,-0,-3.7839,150.34,0,0,0,0,0,0.53297,0.00025614,5.0243
725.25,386.04,339.21,33.921,251.64,-315.64,-63.998,4.0102,-1.8597,-3.6817,239.76,0,2.3623e-06,0,0,0,0.53229,0.00036334,7.8243
897.25,477,420.25,42.025,248.24,-315.64,-67.392,30.751,-10.051,-3.5829,327.95,0,1.2768e-05,0,0,0,0.53162,0.00045076,10.538
1018.8,540.95,477.85,47.785,246.79,-315.64,-68.843,20.342,-7.5346,-3.4873,370.54,0,9.5711e-06,0,0,0,0.53097,0.00051291,11.899
1079.5,572.49,507.01,50.701,248.63,-315.64,-67.002,20.072,-8.016,-3.3948,397.97,0,1.0183e-05,0,0,0,0.53033,0.00054441,12.753
1073.8,568.8,505,50.5,266.35,-315.64,-49.284,6.7641,-1.0778,-3.3053,407.6,0,1.3691e-06,0,0,0,0.5297,0.00054231,13.016
1004,531.21,472.79,47.279,272.29,-315.64,-43.347,36.127,7.8005,-3.2188,422.87,0,0,-9.9089e-06,0,0,0.52909,0.00050765,13.354
877.75,463.88,413.87,41.387,275.12,-315.64,-40.521,57.857,17.138,-3.1353,403.82,0,0,-2.1771e-05,0,0,0.52849,0.0004442,12.648
705.75,372.57,333.18,33.318,271.54,-315.64,-44.094,45.352,10.641,-3.0546,308.71,0,0,-1.3518e-05,0,0,0.5279,0.00035729,9.7346
498.25,262.74,235.51,23.551,265.58,-315.64,-50.054,64.625,24.978,-2.9766,248.53,0,0,-3.173e-05,0,0,0.52733,0.00025207,7.7593
273,143.81,129.19,12.919,262.43,-315.64,-53.21,49.736,0.11445,-2.9013,110.01,0,0,-1.4538e-07,0,0,0.52677,0.00013753,3.5497
85.5,44.991,40.509,4.0509,256.06,-315.64,-59.572,50.318,-20.621,-2.8287,3.7548,0,2.6194e-05,0,0,0,0.52621,4.1995e-05,0.29999
2.5,1.3142,1.1858,0.11858,263.57,-300.17,-36.598,27.915,-6.0658,13.68,0,-0.00015836,7.7053e-06,0,0,0,0.52567,0,-0.3826
0,0,0,0,260.59,-289.87,-29.287,5.2143,-0.79206,24.865,0,-0.00015616,1.0061e-06,0,0,0,0.52514,0,-0.70144
0,0,0,0,264.96,-295.05,-30.091,11.459,-0.18111,18.814,0.00039693,0.00039127,2.3006e-07,0,0,0,0.52463,0,-0.53072
0,0,0,0,259.4,-299.58,-40.177,25.468,1.0984,13.61,0,-3.843e-05,0,-1.3953e-06,0,0,0.52412,0,-0.38393
0,0,0,0,260.08,-307.77,-47.689,57.892,-14.771,4.569,0.00088887,0.00084954,1.8764e-05,0,0,0,0.52362,0,-0.12887
0,0,0,0,265.56,-315.64,-50.08,103.48,-14.681,-3.8588,34.858,0,1.8649e-05,0,0,0,0.52313,0,1.0922
0,0,0,0,264.37,-315.64,-51.265,101.05,-3.6102,-3.759,42.42,0,4.5861e-06,0,0,0,0.52266,0,1.3027
0,0,0,0,263.52,-314.13,-50.609,54.052,-1.3914,-2.0527,0,-0.00021853,1.7674e-06,0,0,0,0.52219,0,0.057879
0,0,0,0,264.44,-315.64,-51.194,63.967,1.1013,-3.5989,10.275,0,0,-1.3989e-06,0,0,0.52173,0,0.39139
0.25,0.13032,0.11968,0.011968,260.8,-315.64,-54.832,67.227,8.4159,-3.5092,17.409,0,0,-1.0691e-05,0,0,0.52128,0,0.59043
67,34.897,32.103,3.2103,262.87,-315.64,-52.769,85.002,4.7669,-3.4223,62.47,0,0,-6.0553e-06,0,0,0.52085,3.2762e-05,1.9494
264,137.39,126.61,12.661,263.47,-315.64,-52.171,83.791,15.601,-3.338,157.83,0,0,-1.9818e-05,0,0,0.52042,0.00013468,4.9037
490.5,255.06,235.44,23.544,262.03,-315.64,-53.603,78.879,12.731,-3.2562,246.65,0,0,-1.6172e-05,0,0,0.51999,0.00025203,7.7139
693,360.07,332.93,33.293,257.97,-315.64,-57.669,51.05,4.4149,-3.1768,294.26,0,0,-5.6082e-06,0,0,0.51958,0.00035716,9.3296
858.5,445.71,412.79,41.279,260.04,-315.64,-55.601,63.001,5.5785,-3.0997,381.39,0,0,-7.0863e-06,0,0,0.51918,0.00044328,12.011
784.5,406.99,377.51,37.751,265.12,-315.64,-50.512,76.81,29.664,-3.0248,392.7,0,0,-3.7681e-05,0,0,0.51878,0.00040531,12.228
892,462.41,429.59,42.959,269.79,-315.64,-45.852,161.97,48.258,-2.9524,548.06,0,0,-6.1302e-05,0,0,0.5184,0.00046148,16.756
963,498.85,464.15,46.415,273.77,-315.64,-41.868,176.16,19.079,-2.8821,568.22,0,0,-2.4236e-05,0,0,0.51802,0.00049877,17.42
955,494.35,460.65,46.065,278.1,-315.64,-37.533,76.298,19.424,-2.8138,469.96,0,0,-2.4674e-05,0,0,0.51764,0.00049504,14.636
821.75,425.08,396.67,39.667,269.67,-315.64,-45.964,25.465,8.9493,-2.7477,342.71,0,0,-1.1368e-05,0,0,0.51728,0.00042612,10.864
