SW IN,SW OUT,NETSW,Si0,Li0,Lo0,NetLW,H0,E0,B0,energy0,energy_rest0,sublim0,depo0,evapo0,condens0,alphaMod0,SubM0,melt[cm ice eq.day]
0,0,0,0,238.93,-302.52,-63.587,32.859,14.442,16.285,0,-5.9968e-06,0,-1.8346e-05,0,0,0.30035,0,-0.45942
16.26,4.8844,11.376,1.1376,242.09,-302.76,-60.667,25.008,9.7678,15.654,0.00027516,0,0,-1.2408e-05,0,0,0.3004,0,-0.40949
209.1,62.82,146.28,14.628,246.25,-315.64,-69.385,10.686,2.3521,-2.6385,72.667,0,0,-2.9878e-06,0,0,0.30043,0.00015758,2.537
421.4,126.42,294.98,58.996,250.96,-315.64,-64.674,15.291,4.1624,-2.5631,188.2,0,0,-5.2875e-06,0,0,0.3,0.0006358,7.0456
618.4,185.52,432.88,86.576,249.14,-315.64,-66.496,15.156,3.5685,-2.49,296.04,0,0,-4.533e-06,0,0,0.3,0.00093307,10.864
781.3,234.39,546.91,109.38,252.58,-315.64,-63.054,3.9981,0.96942,-2.4191,377.02,0,0,-1.2314e-06,0,0,0.3,0.0011789,13.79
906,271.8,634.2,126.84,252.67,-315.64,-62.97,38.762,10.31,-2.3505,491.11,0,0,-1.3096e-05,0,0,0.3,0.0013671,17.498
984,295.2,688.8,137.76,254.13,-315.64,-61.509,34.268,11.199,-2.284,532.71,0,0,-1.4226e-05,0,0,0.3,0.0014848,18.978
1013,303.9,709.1,141.82,252.62,-315.64,-63.018,57.475,22.074,-2.2198,581.59,0,0,-2.804e-05,0,0,0.3,0.0015285,20.47
958,287.4,670.6,134.12,251.2,-315.64,-64.435,74.837,25.51,-2.1577,570.24,0,0,-3.2405e-05,0,0,0.3,0.0014455,19.93
717.8,215.34,502.46,100.49,253.64,-315.64,-61.994,58.799,20.891,-2.0979,417.57,0,0,-2.6538e-05,0,0,0.3,0.0010831,14.673
735.5,220.65,514.85,102.97,258.63,-315.64,-57.006,71.265,21.204,-2.0405,445.3,0,0,-2.6935e-05,0,0,0.3,0.0011098,15.524
560.5,168.15,392.35,78.47,260.23,-315.64,-55.405,98.058,23.041,-1.985,377.59,0,0,-2.9269e-05,0,0,0.3,0.0008457,12.921
313.9,94.17,219.73,43.946,259.67,-315.64,-55.97,91.972,30.628,-1.9318,240.48,0,0,-3.8907e-05,0,0,0.3,0.00047359,8.0781
280.4,84.12,196.28,39.256,259.71,-315.64,-55.923,63.72,25.953,-1.8807,188.89,0,0,-3.2968e-05,0,0,0.3,0.00042303,6.4891
101.2,30.36,70.84,14.168,259.82,-315.64,-55.818,43.653,18.992,-1.8315,61.667,0,0,-2.4126e-05,0,0,0.3,0.00015263,2.1909
25.02,7.506,17.514,3.5028,256.39,-315.64,-59.249,51.367,25.955,-1.7842,30.299,0,0,-3.297e-05,0,0,0.3,3.7671e-05,1.0039
0.974,0.2922,0.6818,0.13636,253.78,-315.64,-61.856,70.047,36.663,-1.7386,43.661,0,0,-4.6573e-05,0,0,0.3,1.386e-06,1.2845
0,0,0,0,289.32,-315.64,-26.314,73.318,37.097,-1.6946,82.406,0,0,-4.7124e-05,0,0,0.3,0,2.3724
0,0,0,0,290.03,-315.64,-25.609,52.379,25.892,-1.6521,51.01,0,0,-3.289e-05,0,0,0.3,0,1.4856
0,0,0,0,291.77,-315.64,-23.865,39.81,20.889,-1.611,35.223,0,0,-2.6535e-05,0,0,0.3,0,1.0391
0,0,0,0,291.38,-315.64,-24.253,73.268,35.701,-1.5712,83.145,0,0,-4.5351e-05,0,0,0.3,0,2.3898
0.668,0.2004,0.4676,0.09352,289.6,-315.64,-26.032,44.826,25.626,-1.5327,43.261,0,0,-3.2553e-05,0,0,0.3,9.2426e-07,1.2663
0.963,0.2889,0.6741,0.13482,286,-315.64,-29.641,48.825,31.718,-1.4955,49.945,0,0,-4.0291e-05,0,0,0.3,1.3694e-06,1.4549
0.896,0.2688,0.6272,0.12544,285.13,-315.64,-30.506,53.754,34.396,-1.4595,56.687,0,0,-4.3693e-05,0,0,0.3,1.2683e-06,1.6438
6.665,1.9995,4.6655,0.9331,286.91,-315.64,-28.726,47.606,26.603,-1.4247,47.792,0,0,-3.3794e-05,0,0,0.3,9.9736e-06,1.4147
29.66,8.898,20.762,4.1524,282.2,-315.64,-33.434,40.649,21.885,-1.3909,44.319,0,0,-2.7801e-05,0,0,0.3,4.4673e-05,1.4066
100.6,30.18,70.42,14.084,284.43,-315.64,-31.205,36.646,22.479,-1.3582,82.898,0,0,-2.8555e-05,0,0,0.3,0.00015172,2.7741
264.6,79.38,185.22,37.044,282.33,-315.64,-33.307,28.944,18.645,-1.3265,161.13,0,0,-2.3684e-05,0,0,0.3,0.00039919,5.6279
338.5,101.55,236.95,47.39,285.4,-315.64,-30.236,46.943,30.517,-1.2954,235.49,0,0,-3.8765e-05,0,0,0.3,0.00051071,8.0165
628.3,188.49,439.81,87.962,286.15,-315.64,-29.49,55.414,36.815,-1.2653,413.32,0,0,-4.6765e-05,0,0,0.3,0.00094801,14.177
941,282.3,658.7,131.74,285.4,-315.64,-30.235,58.592,36.174,-1.2355,590.25,0,0,-4.5951e-05,0,0,0.3,0.0014199,20.402
956,286.8,669.2,133.84,288.84,-315.64,-26.793,78.796,52.945,-1.2062,639.1,0,0,-6.7255e-05,0,0,0.3,0.0014425,21.838
610.9,183.27,427.63,85.526,287.38,-315.64,-28.258,61.116,36.163,-1.1778,409.95,0,0,-4.5937e-05,0,0,0.3,0.00092175,14.01
436.8,131.04,305.76,61.152,286.27,-315.64,-29.367,62.699,38.123,-1.1508,314.91,0,0,-4.8427e-05,0,0,0.3,0.00065904,10.641
438.5,131.55,306.95,61.39,283.73,-315.64,-31.905,64.593,42.27,-1.1249,319.39,0,0,-5.3695e-05,0,0,0.3,0.0006616,10.773
675.4,202.62,472.78,94.556,284.76,-315.64,-30.878,56.876,39.482,-1.0998,442.6,0,0,-5.0154e-05,0,0,0.3,0.0010191,15.184
368.9,110.67,258.23,51.646,286.45,-315.64,-29.189,64.682,47.582,-1.0751,288.58,0,0,-6.0442e-05,0,0,0.3,0.00055658,9.6281
