SWIN,SWOUT,SWNET,LWNET,EH,EE,melt [cm ice eq. day]
30.15,-10.854,19.296,7.4362,9.3903,-12.213,0.67448
164.7,-59.292,105.41,0.8403,7.1432,-8.4384,2.9607
691.6,-248.98,442.62,-34.341,0,0,11.518
691.6,-248.98,442.62,-42.15,0,0,11.297
389.2,-140.11,249.09,-28.259,0,0,6.2295
389.2,-140.11,249.09,-51.05,0,0,5.5866
148.8,-53.568,95.232,-51.86,0,0,1.2235
128.9,-46.404,82.496,-28.967,0,0,1.51
53.44,-19.238,34.202,-29.08,0,0,0.14448
9.72,-3.4992,6.2208,-29.016,0,0,-0.64304
-1.92,0.6912,-1.2288,-31.115,4.1976,-3.6101,-0.89582
-0.274,0.09864,-0.17536,-30.359,4.4449,-4.0062,-0.84899
-2.107,0.75852,-1.3485,-31.164,0,0,-0.91716
-2.957,1.0645,-1.8925,-29.233,0,0,-0.87803
-2.225,0.801,-1.424,-33.776,6.7486,-9.6918,-1.076
-1.547,0.55692,-0.99008,-33.123,9.0214,-14.415,-1.1145
-2.233,0.80388,-1.4291,-21.254,0,0,-0.63989
-2.648,0.95328,-1.6947,-26.989,0,0,-0.80917
-2.858,1.0289,-1.8291,-33.43,0,0,-0.99465
-2.187,0.78732,-1.3997,-4.3333,3.8467,-7.3688,-0.26108
-1.944,0.69984,-1.2442,-7.4003,7.9752,-17.016,-0.49888
-0.339,0.12204,-0.21696,-8.7066,8.4981,-19.802,-0.57061
14.46,-5.2056,9.2544,-12.421,6.6748,-16.676,-0.37147
24.04,-8.6544,15.386,-5.8077,5.9288,-10.271,0.1477
29.48,-10.613,18.867,2.4637,12.378,-18.095,0.44048
53.59,-19.292,34.298,0.95842,0,0,0.99456
786.4,-283.1,503.3,-46.263,0,0,12.893
672.5,-242.1,430.4,-41.812,0,0,10.962
355.3,-127.91,227.39,-26.201,0,0,5.6755
256.9,-92.484,164.42,-31.531,0,0,3.7487
170.2,-61.272,108.93,-56.155,0,0,1.4887
104.1,-37.476,66.624,-24.373,0,0,1.1919
47.72,-17.179,30.541,-27.386,0,0,0.089007
6.427,-2.3137,4.1133,-32.65,5.6108,-5.55,-0.8033
-2.507,0.90252,-1.6045,-30.977,9.4199,-9.6009,-0.92423
-1.9605,0.70578,-1.2547,-33.096,9.9737,-11.043,-0.99919
-1.414,0.50904,-0.90496,-35.203,10.278,-12.489,-1.081
-1.551,0.55836,-0.99264,-34.077,11.672,-13.258,-1.034
-1.578,0.56808,-1.0099,-35.885,10.048,-11.934,-1.094
-1.5605,0.56178,-0.99872,-36.388,9.8649,-11.802,-1.1093
-1.543,0.55548,-0.98752,-36.89,9.6798,-11.672,-1.1247
-1.833,0.65988,-1.1731,-38.972,7.9902,-11.748,-1.2385
-1.17,0.4212,-0.7488,-35.639,6.1866,-8.9532,-1.1045
-1.311,0.47196,-0.83904,-5.054,10.993,-18.606,-0.381
-1.688,0.60768,-1.0803,-5.4621,3.7042,-5.7637,-0.24266
-0.823,0.29628,-0.52672,-5.4675,5.1452,-7.938,-0.24788
11.17,-4.0212,7.1488,-9.2039,6.2351,-11.771,-0.21415
27.41,-9.8676,17.542,-8.3213,5.1718,-8.5314,0.16535
52.78,-19.001,33.779,-7.6547,6.1347,-9.0239,0.65546
57.17,-20.581,36.589,-3.4501,0,0,0.93483
746.8,-268.85,477.95,-43.134,0,0,12.266
756.1,-272.2,483.9,-48.298,0,0,12.288
527.6,-189.94,337.66,-39.483,0,0,8.4116
586.2,-211.03,375.17,-45.879,0,0,9.2891
361.3,-130.07,231.23,-49.207,0,0,5.1349
219.76,-79.114,140.65,-17.833,0,0,3.4645
78.21,-28.156,50.054,-21.113,0,0,0.81642
11.28,-4.0608,7.2192,-24.717,0,0,-0.49361
-1.055,0.3798,-0.6752,-24.652,0,0,-0.71448
-1.223,0.44028,-0.78272,-26.215,0,0,-0.7616
-2.183,0.78588,-1.3971,-29.597,8.362,-4.668,-0.77013
-1.844,0.66384,-1.1802,-28.611,6.5208,-4.1233,-0.77278
-1.532,0.55152,-0.98048,-27.95,0,0,-0.81611
-1.985,0.7146,-1.2704,-31.213,5.7704,-5.5198,-0.90927
-2.027,0.72972,-1.2973,-32.367,12.375,-13.271,-0.97494
-1.829,0.65844,-1.1706,-33.469,11.58,-13.452,-1.03
-1.475,0.531,-0.944,-33.562,8.7926,-10.241,-1.0143
-1.738,0.62568,-1.1123,-0.91665,3.865,-4.6842,-0.080346
-2.088,0.75168,-1.3363,-3.2769,8.0028,-10.98,-0.21413
5.226,-1.8814,3.3446,-4.2791,9.0397,-12.87,-0.1344
12.54,-4.5144,8.0256,-5.0955,10.016,-14.788,-0.051946
23.75,-8.55,15.2,-5.1925,5.6629,-7.9847,0.21681
30.11,-10.84,19.27,0.5298,5.1022,-5.9134,0.53567
36.34,-13.082,23.258,1.3513,0,0,0.69421
748.2,-269.35,478.85,-45.039,0,0,12.238
825.6,-297.22,528.38,-49.744,0,0,13.502
903,-325.08,577.92,-46.017,3.9022,-2.6109,15.041
855,-307.8,547.2,-45.513,5.8581,-3.6477,14.215
365.8,-131.69,234.11,-50.971,0,0,5.1663
31.5,-11.34,20.16,-22.4,0,0,-0.063202
23,-8.28,14.72,-24.747,4.2266,-3.0256,-0.24898
4.861,-1.75,3.111,-27.396,10.53,-8.1357,-0.61752
-1.829,0.65844,-1.1706,-27.549,15.217,-12.992,-0.74741
-2.092,0.75312,-1.3389,-27.272,13.578,-13.341,-0.80042
-2.096,0.75456,-1.3414,-28.458,4.9215,-5.049,-0.84424
-1.951,0.70236,-1.2486,-27.371,10.754,-10.48,-0.7996
-1.806,0.65016,-1.1558,-26.28,16.813,-15.557,-0.73853
-1.604,0.57744,-1.0266,-28.799,24.812,-23.704,-0.81014
-1.303,0.46908,-0.83392,-24.642,26.736,-20.466,-0.54178
-1.461,0.52596,-0.93504,-28.683,16.138,-14.575,-0.79141
-1.619,0.58284,-1.0362,-32.679,7.0232,-7.6405,-0.96852
-2.134,0.76824,-1.3658,-0.91122,2.8736,-3.2342,-0.074408
-2.245,0.8082,-1.4368,-5.6553,10.433,-14.153,-0.30503
-0.08,0.0288,-0.0512,-5.7143,9.4561,-12.827,-0.25775
13.64,-4.9104,8.7296,-3.7144,17.607,-18.058,0.12874
22.79,-8.2044,14.586,2.0053,24.374,-21.09,0.56066
29.32,-10.555,18.765,-0.7534,1.3872,-1.2585,0.51173
55.72,-20.059,35.661,2.2374,4.0288,-3.4968,1.0841
522.7,-188.17,334.53,-25.124,0,0,8.7282
290.5,-104.58,185.92,-11.848,0,0,4.9105
195.8,-70.488,125.31,-11.21,0,0,3.2188
128.8,-46.368,82.432,-15.635,0,0,1.8843
81.39,-29.3,52.09,-34.46,0,0,0.49733
74.58,-26.849,47.731,-31.252,0,0,0.46488
71.71,-25.816,45.894,-32.562,0,0,0.37609
14.32,-5.1552,9.1648,-34.951,0,0,-0.72742
-1.356,0.48816,-0.86784,-37.319,0.0093741,-0.0074642,-1.0772
-0.981,0.35316,-0.62784,-37.083,0.0023317,-0.0017919,-1.0638
-0.606,0.21816,-0.38784,-36.846,0,0,-1.0504
-0.469,0.16884,-0.30016,-35.813,0.66778,-0.50992,-1.0143
-0.076,0.02736,-0.04864,-34.053,0.83121,-0.63772,-0.95653
-0.297,0.10692,-0.19008,-33.396,0,0,-0.94745
0.023,-0.00828,0.01472,-33.177,0,0,-0.93549
-0.183,0.06588,-0.11712,-33.42,2.2605,-2.2089,-0.94462
-0.114,0.04104,-0.07296,-34.539,0.94867,-0.93987,-0.97613
0.1775,-0.0639,0.1136,-1.4878,2.8798,-2.8301,-0.037364
0.469,-0.16884,0.30016,0.50883,5.3866,-5.2665,0.02621
0.484,-0.17424,0.30976,4.7304,3.1681,-2.89,0.15003
42.892,-15.441,27.451,6.5753,11.144,-9.6159,1.003
85.3,-30.708,54.592,9.8454,21.723,-18.419,1.911
152,-54.72,97.28,3.8127,0,0,2.8518
143.1,-51.516,91.584,1.2781,0,0,2.6196
134.2,-48.312,85.888,-2.0277,0,0,2.3657
134.1,-48.276,85.824,-5.3724,0,0,2.2695
178.2,-64.152,114.05,-13.875,0,0,2.8258
135.4,-48.744,86.656,-18.212,0,0,1.9308
87.8,-31.608,56.192,-35.911,0,0,0.57213
67.76,-24.394,43.366,-25.738,0,0,0.49729
47.72,-17.179,30.541,-25.116,0,0,0.15304
7.314,-2.633,4.681,-31.208,1.2581,-0.68264,-0.73208
-0.034,0.01224,-0.02176,-29.415,0,0,-0.8304
0.145,-0.0522,0.0928,-28.256,0,0,-0.79447
0.194,-0.06984,0.12416,-27.074,0,0,-0.76023
