SWIN,SWOUT,SWNET,LWNET,EH,EE,melt [cm ice eq. day]
120.4,-31.304,89.096,-59.621,-35.057,-57.984,-1.7932
275.8,-71.708,204.09,-69.486,0,0,3.7972
151.9,-39.494,112.41,-62.231,-35.31,-40.526,-0.72387
327.3,-85.098,242.2,-67.653,0,0,4.924
196.1,-50.986,145.11,-63.262,0,0,2.309
304,-79.04,224.96,-61.525,0,0,4.6104
159.7,-41.522,118.18,-61.262,-40.22,-60.531,-1.2366
177.5,-46.15,131.35,-67.987,0,0,1.7874
220.5,-57.33,163.17,-84.77,-28.186,-42.568,0.21566
170.1,-44.226,125.87,-107.66,0,0,0.51376
154.4,-40.144,114.26,-75.323,-31.108,-59.511,-1.4581
40.09,-10.423,29.667,-75.739,-25.658,-51.641,-3.4803
-1.022,0.26572,-0.75628,-83.759,0,0,-2.3842
-2.276,0.59176,-1.6842,-82.049,0,0,-2.3621
-3.785,0.9841,-2.8009,-78.438,-30.43,-51.428,-4.6009
-3.785,0.9841,-2.8009,-76.547,-28.66,-59.026,-4.712
-1.277,0.33202,-0.94498,-73.753,-23.348,-56.489,-4.3594
-2.16,0.5616,-1.5984,-74.098,0,0,-2.1354
-0.372,0.09672,-0.27528,-75.061,-26.54,-63.406,-4.6626
-0.743,0.19318,-0.54982,-79.658,-34.943,-58.743,-4.9055
-1.835,0.4771,-1.3579,-79.755,-31.858,-58.779,-4.845
-3.205,0.8333,-2.3717,-53.136,-33.17,-63.562,-4.2947
-4.809,1.2503,-3.5587,-55.419,-37.615,-68.78,-4.6651
17.68,-4.5968,13.083,-54.136,-33.46,-69.077,-4.0506
39.91,-10.377,29.533,-54.3,-34.361,-72.961,-3.7262
754.9,-196.27,558.63,-87.161,-26.272,-87.922,10.078
949,-246.74,702.26,-90.426,-19.083,-88.186,14.234
1061,-275.86,785.14,-88.7,-5.051,-64.154,17.694
953,-247.78,705.22,-87.357,-11.599,-79.63,14.856
670.6,-174.36,496.24,-71.987,-3.9731,-51.554,10.402
1104.1,-287.07,817.03,-83.745,2.5361,-44.67,19.497
992,-257.92,734.08,-83.167,3.4501,-43.599,17.229
364,-94.64,269.36,-85.976,-0.70469,-43.476,3.9269
208.3,-54.158,154.14,-85.471,0.096074,-42.02,0.75453
89.4,-23.244,66.156,-57.923,-2.5809,-31.76,-0.73649
26.34,-6.8484,19.492,-58.484,-3.0062,-32.664,-2.1062
-4.038,1.0499,-2.9881,-60.14,-4.8283,-40.405,-3.0569
-4.457,1.1588,-3.2982,-59.302,-4.4532,-57.566,-3.5155
-5.803,1.5088,-4.2942,-60.869,-7.8108,-75.3,-4.1828
-4.898,1.2735,-3.6245,-58.461,-4.077,-76.655,-4.0289
-5.061,1.3159,-3.7451,-59.857,-5.2353,-68.145,-3.8642
-5.479,1.4245,-4.0545,-63.677,-8.6451,-59.8,-3.8415
-4.574,1.1892,-3.3848,-62.495,-7.3965,-61.244,-3.7948
-6.432,1.6723,-4.7597,-66.827,-12.989,-65.947,-4.2462
