SWIN,SWOUT,SWNET,LWNET,EH,EE,melt [cm ice eq. day]
21.5,-12.255,9.245,-50.692,22.672,19.893,0.03155
1.25,-0.7125,0.5375,-50.895,20.836,18.829,-0.30162
0,0,0,-50.715,21.337,19.244,-0.28588
0,0,0,-52.863,10.459,9.4485,-0.92967
0,0,0,-54.65,2.9315,2.6959,-1.3829
0,0,0,-58.089,-6.8543,-8.046,-2.059
0,0,0,-59.42,-10.361,-29.657,-2.8051
0,0,0,-58.909,-8.0645,-35.576,-2.8929
0,0,0,-59.31,-8.5634,-33.287,-2.8537
0,0,0,-59.86,-10.059,-49.518,-3.3693
0,0,0,-54.149,3.9469,-78.64,-3.6346
0,0,0,-23.223,6.3181,-75.466,-2.6058
3.25,-1.8525,1.3975,-25.692,1.8195,-54.404,-2.1687
147.5,-84.075,63.425,-41.148,10.533,-86.003,-1.5006
376,-214.32,161.68,-55.663,12.511,-72.784,1.2904
599.25,-341.57,257.68,-61.581,13.804,-33.847,4.9664
774.5,-441.47,333.04,-70.904,9.3168,-14.949,7.2358
898.75,-512.29,386.46,-73.183,4.3811,-4.7618,8.8268
950.5,-541.78,408.72,-71.275,9.5275,-8.0134,9.5618
927,-528.39,398.61,-64.277,0,0,9.4314
844.75,-481.51,363.24,-64.312,1.8784,-0.54925,8.4702
666.5,-379.9,286.6,-67.249,4.3216,-0.98707,6.2817
457,-260.49,196.51,-72.603,7.6107,-1.9184,3.6559
226,-128.82,97.18,-74.398,5.5717,-0.22844,0.79339
48.25,-27.502,20.748,-48.021,4.198,-3.3461,-0.74534
1.75,-0.9975,0.7525,-47.642,18.396,-73.373,-2.8736
0,0,0,-50.272,9.8468,-45.35,-2.4197
0,0,0,-51.428,4.5301,-15.64,-1.7642
0,0,0,-55.969,0,0,-1.5789
0,0,0,-56.172,-0.62247,-12.74,-1.9615
0,0,0,-56.09,-0.66123,-21.827,-2.2167
0,0,0,-55.636,-0.079861,-20.199,-2.1415
0,0,0,-56.884,-1.635,-13.88,-2.0424
0,0,0,-60.46,-5.6621,-6.0408,-2.0357
0,0,0,-61.136,-8.4395,-8.2193,-2.1946
0,0,0,-32.395,-10.072,-13.37,-1.5751
1.5,-0.855,0.645,-31.18,-6.8136,-23.627,-1.7201
