SWIN,SWOUT,SWNET,LWNET,EH,EE,melt [cm ice eq. day]
183.27,-78.805,104.46,-25.665,48.003,4.3372,3.6993
291.95,-125.54,166.41,-41.2,59.534,-10.51,4.9151
167.08,-71.843,95.234,-33.714,36.449,-15.548,2.3251
291.94,-125.54,166.41,-35.804,46.208,4.8822,5.1255
253.87,-109.16,144.71,-34.251,71.446,13.384,5.509
252.14,-108.42,143.72,-42.152,60.171,-16.044,4.11
87.574,-37.657,49.917,-22.964,58.879,0.24777,2.4283
409.62,-176.14,233.49,-46.785,41.124,-17.527,5.9324
245.45,-105.54,139.91,-24.972,74.79,13.516,5.7333
344.44,-148.11,196.33,-40.142,69.842,2.769,6.4544
239.9,-103.16,136.74,-43.318,53.872,6.2295,4.331
214.51,-92.239,122.27,-45.232,24.112,-21.341,2.2514
126.93,-54.579,72.348,-22.341,49.674,11.093,3.1249
383.96,-165.1,218.86,-35.434,48.371,21.734,7.152
359.54,-154.6,204.94,-36.302,35.662,9.7447,6.038
253.86,-109.16,144.7,-31.273,46.994,26.19,5.2642
241.72,-103.94,137.78,-31.814,56.968,6.2645,4.773
383.13,-164.74,218.38,-35.21,51.063,15.245,7.0377
309.14,-132.93,176.21,-25.466,20.365,4.3995,4.9511
366.37,-157.54,208.83,-26.481,22.607,8.1854,6.0127
193.51,-83.21,110.3,-14.521,28.972,14.267,3.9217
385.56,-165.79,219.77,-38.516,44.535,3.4335,6.4663
159.28,-68.49,90.789,-24.553,66.034,13.891,4.1232
104.48,-44.925,59.551,-34.3,53.68,-11.351,1.9064
166.81,-71.728,95.082,-33.702,47.659,-2.1479,3.0154
109.64,-47.147,62.497,-22.736,30.897,1.8226,2.0447
157.06,-67.537,89.526,-19.543,16.869,5.9983,2.6193
208.31,-89.574,118.74,-24.082,62.747,12.583,4.7952
314.97,-135.44,179.53,-39.809,40.564,-0.55492,5.0702
328.14,-141.1,187.04,-31.712,26.482,-5.9026,4.9622
165.88,-71.329,94.552,-19.446,33.223,2.0742,3.1144
178.47,-76.741,101.73,-15.059,50.141,1.503,3.9017
248.37,-106.8,141.57,-30.163,42.996,10.142,4.6418
169.25,-72.776,96.471,-28.609,37.897,11.467,3.3069
376.11,-161.73,214.38,-46.193,27.462,-11.977,5.1814
336.73,-144.79,191.94,-36.719,27.343,-0.071056,5.1479
334.35,-143.77,190.58,-35.75,33.91,-0.26491,5.3167
103.44,-44.48,58.961,-17.73,60.038,8.4889,3.0963
145.38,-62.511,82.864,-26.535,53.328,6.7164,3.2829
321.37,-138.19,183.18,-37.473,102.07,-4.3546,6.8669
130.41,-56.075,74.332,-15.646,67.495,9.8831,3.8383
100.52,-43.223,57.296,-15.183,107.9,27.662,5.012
223.85,-96.256,127.59,-40.042,36.678,-10.285,3.2144
113.01,-48.596,64.418,-37.103,34.853,-8.3338,1.5186
142.3,-61.188,81.109,-30.649,71.15,15.648,3.872
157.15,-67.573,89.574,-15.36,152.35,88.247,8.8806
169.92,-73.065,96.854,-49.151,20.111,-17.724,1.413
188.54,-81.071,107.47,-48.029,17.377,-6.0103,1.9973
269.57,-115.92,153.66,-44.541,30.906,-5.2743,3.8011
134.52,-57.842,76.674,-24.865,94.297,14.266,4.524
91.91,-39.522,52.389,-22.186,101.1,18.172,4.2168
134.49,-57.831,76.66,-29.372,83.994,2.5323,3.7748
228.31,-98.172,130.14,-44.827,59.831,-20.458,3.5172
215.51,-92.67,122.84,-35,49.902,-15.081,3.4603
161.72,-69.538,92.178,-36.907,51.843,-2.5668,2.9492
161.87,-69.606,92.269,-35.191,52.563,-2.2064,3.0307
227.89,-97.992,129.9,-44.602,25.516,-4.1077,3.0101
123.36,-53.044,70.314,-33.052,44.771,-2.3485,2.2479
146.61,-63.044,83.569,-36.55,37.781,-1.4996,2.3499
231.58,-99.579,132,-36.696,32.544,0.70435,3.6264
106.4,-45.75,60.646,-17.761,31.834,16.239,2.5659
258.52,-111.17,147.36,-27.578,44.744,11.282,4.9595
182.09,-78.3,103.79,-34.9,51.04,2.5805,3.4561
201.15,-86.494,114.66,-34.553,37.833,4.2014,3.4454
170.71,-73.404,97.303,-24.902,110.28,16.793,5.6271
233.19,-100.27,132.92,-34.547,76.718,-7.6637,4.723
65.701,-28.251,37.449,-16.734,65.135,12.15,2.7646
206.92,-88.977,117.95,-45.749,43.79,-18.714,2.744
201.34,-86.575,114.76,-41.262,28.455,-11.414,2.5542
102.27,-43.977,58.295,-23.596,90.664,15.538,3.9748
191.05,-82.15,108.9,-37.389,36.867,-7.8059,2.837
195.61,-84.111,111.5,-27.154,30.573,5.0832,3.3851
120.46,-51.8,68.665,-33.588,77.767,-2.0762,3.1247
130.37,-56.059,74.311,-24.693,69.216,0.41256,3.3639
187.8,-80.752,107.04,-29.824,65.933,8.5126,4.2784
77.716,-33.418,44.298,-9.4972,105.98,27.351,4.7429
138.28,-59.462,78.822,-48.235,23.169,-16.187,1.0598
76.639,-32.955,43.684,-41.451,25.078,-11.785,0.43797
52.997,-22.789,30.208,-16.345,49.205,17.307,2.2674
93.725,-40.302,53.423,-11.775,154.07,67.887,7.4361
196.78,-84.617,112.17,-43.646,35.789,-12.053,2.6025
96.514,-41.501,55.013,-11.617,105.38,15.376,4.6308
83.821,-36.043,47.778,-34.673,47.774,-6.9823,1.5204
160.11,-68.847,91.262,-32.199,72.165,17.011,4.1818
70.817,-30.452,40.366,-14.384,85.014,-1.3334,3.0936
45.445,-19.541,25.904,-1.3504,122,33.389,5.0761
82.612,-35.523,47.089,-14.053,83.216,26.381,4.0236
94.159,-40.488,53.671,-18.822,48.688,12.738,2.7159
61.359,-26.384,34.975,-10.993,72.174,20.283,3.2847
193.95,-83.399,110.55,-35.951,80.701,-7.4643,4.1704
84.906,-36.51,48.397,-46.443,16.855,-18.942,-0.0037684
